アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
家入レオ,君がくれた夏,100,https://open.spotify.com/track/6woHdm2NKm0RHbuO7qt4ww,51,59
福山雅治,I am a HERO,99,https://open.spotify.com/track/5x1og4g0MX8MpojvA2Wth3,55,24
BTOB,夏色 MY GIRL,98,https://open.spotify.com/track/5RPR7WoisH82KMp1kO4lj2,52,12
EXILE,24karats GOLD SOUL,96,https://open.spotify.com/track/2dOAilJUs3wA4aCGBmTXIc,60,28
椎名林檎,長く短い祭,94,https://open.spotify.com/track/4hWI3r78IDOhPXSHd2f0Az,65,64
GENERATIONS from EXILE TRIBE,Hard Knock Days,93,https://open.spotify.com/track/1LFahtJlgtc9iC71m7jrtE,51,44
SEKAI NO OWARI,ANTI-HERO,92,https://open.spotify.com/track/0FiH6w5v75crfWUrSnX0Ge,64,47
土間うまる(田中あいみ),かくしん的☆めたまるふぉ〜ぜっ!,91,https://open.spotify.com/track/4ejVSv31daoRyDMffmVT3k,27,44
西野カナ,トリセツ,89,https://open.spotify.com/track/23b0C1AE9Jt408lzWIvPSn,63,55
back number,手紙,88,https://open.spotify.com/track/1I5JRnPFl38a9APWaAshoY,76,62
SKE48,前のめり,87,https://open.spotify.com/track/0VMzHFZO3NOJIuP9jtDPSB,33,26
三代目 J Soul Brothers from EXILE TRIBE,Summer Madness,86,https://open.spotify.com/track/5Ka1g28ae2RU0enBfG9nav,54,42
嵐,愛を叫べ,84,https://open.spotify.com/track/6sESCqEL3UmdmOO2UBrg8c,65,48
三代目 J Soul Brothers from EXILE TRIBE,R.Y.U.S.E.I.,83,https://open.spotify.com/track/2AVA9gTyJsZaan4PcsNHSn,54,54
大原櫻子,真夏の太陽,82,https://open.spotify.com/track/3SqD1mz7NHfIpTh6DORveV,40,33
CHiCO with HoneyWorks,プライド革命,80,https://open.spotify.com/track/2UfQ8bejhARFxIOUCScLsD,53,43
Superfly,On Your Side,79,https://open.spotify.com/track/656cRvXoLSQZWQ2FrzOCcD,59,47
TrySail,コバルト,78,https://open.spotify.com/track/2ra6NQSnqa5vuxjKB2hBac,40,15
ソナーポケット,HERO,77,https://open.spotify.com/track/10rYKVajlQ1t2zFJ3HpR3D,41,15
MACO,ふたりずっと,76,https://open.spotify.com/track/5JGZLa6hM1a4QDpYDp0rLg,40,38
雪音クリス(高垣彩陽),TRUST HEART,75,https://open.spotify.com/track/71Islsa74IJF75HWOuEjSw,22,23
KANA-BOON,ダイバー,74,https://open.spotify.com/track/7C1Lzlt1bOjNAxKboc9b98,61,41
ゆず,終わらない歌,73,https://open.spotify.com/track/18HtVfT3yjozI7RVxGqVmQ,56,24
AAA,LOVER,72,https://open.spotify.com/track/58ia3PaHfpq6ggLrFKc4It,54,42
amazarashi,スピードと摩擦,70,https://open.spotify.com/track/0HFElo31eqFT0S7nGLaSFU,53,38
UNISON SQUARE GARDEN,シュガーソングとビターステップ,69,https://open.spotify.com/track/6uR92injo4PDzSrOPRFfHt,55,57
M!LK,反抗期アバンチュール,68,https://open.spotify.com/track/6aPsCeKyxYklRhEzq88QFB,53,30
西野カナ,もしも運命の人がいるのなら,66,https://open.spotify.com/track/2gEnMcr2XNx1wtVYX8waMn,63,52
ゲスの極み乙女。,ロマンスがありあまる,65,https://open.spotify.com/track/6unPQ3WjSYWpKWjSVPA0KE,53,59
JUJU,PLAYBACK,64,https://open.spotify.com/track/1ZQm54xFIPpy9s4mKJth2B,53,40
西野カナ,好き,62,https://open.spotify.com/track/0o3Qt0eAqvHHnkSlzGKg9Q,63,48
ゲスの極み乙女。,私以外私じゃないの,59,https://open.spotify.com/track/3iKJWOQJtENE3kFWMXh8JM,53,58
Kalafina,One Light,56,https://open.spotify.com/track/1T2x2N3tIa2EP1uj8H67Tz,47,30
wacci,大丈夫,55,https://open.spotify.com/track/5MYjno6goNbqgGHKEYhJ1Y,54,53
秦基博,ひまわりの約束,53,https://open.spotify.com/track/45jGOHwYKgsRYbAJ8DR61d,56,63
UVERworld,I LOVE THE WORLD,51,https://open.spotify.com/track/6J25oC8Xh8YuXOvmzZlQoO,60,31
米津玄師,アンビリーバーズ,49,https://open.spotify.com/track/1anEvdodVHHpDXiq2bwuau,80,49
Doll☆Elements,君のオモイ届けたい,47,https://open.spotify.com/track/0NuyeeLncoArgm7zFFs85K,1,0
ベイビーレイズJAPAN,Pretty Little Baby,46,https://open.spotify.com/track/0ZoF0OrFlIuNMNA63qEpRL,13,3
ぽこた,ワンチャン僕の女神様っ!!!,45,https://open.spotify.com/track/4ZVkD7bGEevMhMGzdIihi8,17,16
GReeeeN,SAKAMOTO,44,https://open.spotify.com/track/1R3McTFD9Sr7BJO1I7DCsg,61,25
乃木坂46,太陽ノック,43,https://open.spotify.com/track/5eDvZAip7hyk4zfCx9VgdU,60,39
星野源,SUN,42,https://open.spotify.com/track/1DOZa2VoazIiDjGYlUQTlW,65,62
黒崎真音,ハーモナイズ・クローバー,39,https://open.spotify.com/track/0l6CpquwCUHNJNOuuVSFxB,37,1
Da-iCE,エビバディ,35,https://open.spotify.com/track/7qO9rsPOI8ubNAiRsOYHoe,62,26
片平里菜,誰にだってシンデレラストーリー,34,https://open.spotify.com/track/2iMu7FjLCT2vNVtfFR2yYs,39,25
Linked Horizon,紅蓮の弓矢,33,https://open.spotify.com/track/0F8psXXh2oxE5BGdkKaoIs,59,51
AAA,さよならの前に,32,https://open.spotify.com/track/7vwXjDrZT2mqiFynlEwwgG,54,56
E-girls,Anniversary!!,30,https://open.spotify.com/track/5OmnPkKZUcHpUioKGCqopr,46,40
AAA,恋音と雨空,29,https://open.spotify.com/track/3KcT7QC0x2XyL6jtfLoGPm,54,48
井上苑子,大切な君へ,28,https://open.spotify.com/track/3U7iZzhdkOZR7vEEbpNw3E,57,40
平井堅,君の鼓動は君にしか鳴らせない,25,https://open.spotify.com/track/4levHW20mQIJkqdt6J9llk,55,33
MACO,LOVE,24,https://open.spotify.com/track/78zFq2yIbPsg8kttGuCNoi,40,38
