rank,song_title,artist_name,score
2,Bling-Bang-Bang-Born,Creepy Nuts,99
3,ライラック,Mrs.GREEN APPLE,98
4,ブルーシャワー,M!LK,97
5,WOKE UP,XG,96
6,これが愛なのか?,NMB48,95
7,幾億光年,Omoinotake,94
8,Dear,Mrs.GREEN APPLE,93
9,晩餐歌,tuki.,92
10,Magnetic,ILLIT,91
11,カラコンウインク,AKB48,90
12,タイムパラドックス,Vaundy,89
13,さよーならまたいつか！,米津玄師,88
14,ケセラセラ,Mrs.GREEN APPLE,87
15,怪獣の花唄,Vaundy,86
16,アイドル,YOASOBI,85
17,I wonder,Da-iCE,84
18,相思相愛,aiko,83
19,How Sweet,NewJeans,82
20,夢幻,MY FIRST STORY × HYDE,81
21,会いに行くのに,あいみょん,80
22,ビビデバ,星街すいせい,79
23,初恋キラー,乃紫,78
24,青と夏,Mrs.GREEN APPLE,77
25,Supernova,aespa,76
27,唱,Ado,74
28,鬼ノ宴,友成空,73
29,ダンスホール,Mrs.GREEN APPLE,72
32,Soranji,Mrs.GREEN APPLE,69
33,Masterplan,BE:FIRST,68
34,moooove!!,King & Prince,67
36,晴る,ヨルシカ,65
37,満ちてゆく,藤井風,64
38,オレンジ,SPYAIR,63
39,HONEY,BUDDiiS,62
40,勇者,YOASOBI,61
41,Magic,Mrs.GREEN APPLE,60
42,SHEESH,BABYMONSTER,59
43,SPECIALZ,King Gnu,58
44,絶対零度,なとり,57
45,Subtitle,Official髭男dism,56
46,水平線,back number,55
47,W / X / Y,Tani Yuuki,54
48,I'm a mess,MY FIRST STORY,53
49,Romantic,SEKAI NO OWARI,52
50,花になって,緑黄色社会,51
51,二度寝,Creepy Nuts,50
52,青のすみか,キタニタツヤ,49
53,インフェルノ,Mrs.GREEN APPLE,48
54,高嶺の花子さん,back number,47
55,美しい鰭,スピッツ,46
56,ビリミリオン,優里,45
57,点描の唄 feat.井上苑子,Mrs.GREEN APPLE,44
58,ドライフラワー,優里,43
59,Love seeker,JO1,42
60,hanataba,milet,41
61,You,808,40
63,Lose My Breath (feat.Charlie Puth),Stray Kids,38
64,GOAT,Number_i,37
65,メズマライザー,サツキ,36
66,最高到達点,SEKAI NO OWARI,35
67,CyberHelix,THE RAMPAGE from EXILE TRIBE,34
68,僕のこと,Mrs.GREEN APPLE,33
69,Click,ME:I,32
70,マリーゴールド,あいみょん,31
72,ナハトムジーク,Mrs.GREEN APPLE,29
73,Perfect Night,LE SSERAFIM,28
74,シンデレラボーイ,Saucy Dog,27
75,NIGHT DANCER,imase,26
76,Pretender,Official髭男dism,25
77,Mania,原因は自分にある。,24
78,MAESTRO,SEVENTEEN,23
79,junkie,swetty,22
80,Seven (feat. Latto),Jung Kook,21
81,花,藤井風,20
82,ロマンチシズム,Mrs.GREEN APPLE,19
83,夜に駆ける,YOASOBI,18
84,"Last Party Never End (feat. Tiji Jojo, YZERR, Vingo & Yellow Pato)",BAD HOP,17
86,ランデヴー,シャイトープ,15
87,ミックスナッツ,Official髭男dism,14
88,群青,YOASOBI,13
89,B級,ちゃんみな,12
90,第ゼロ感,10-FEET,11
91,オーバーライド,吉田夜世,10
92,ハート,WEST.,9
93,ベテルギウス,優里,8
94,KICK BACK,米津玄師,7
95,運命,sumika,6
96,絆ノ奇跡,MAN WITH A MISSION×milet,5
97,HEYA,IVE,4
98,ただ君に晴れ,ヨルシカ,3
99,366日,HY,2
100,ONE SPARK,TWICE,1
