rank,song_title,artist_name,score
1,I want tomorrow to come,櫻坂46,100
2,オトノケ,Creepy Nuts,99
3,ライラック,Mrs.GREEN APPLE,98
8,ねっこ,King Gnu,93
9,Bunny Girl,AKASAKI,92
11,Same Blue,Official髭男dism,90
12,Bling-Bang-Bang-Born,Creepy Nuts,89
13,Whiplash,aespa,88
14,NEW LOOK,MISAMO,87
16,familie,Mrs.GREEN APPLE,85
17,ケセラセラ,Mrs.GREEN APPLE,84
18,幾億光年,Omoinotake,83
19,はいよろこんで,こっちのけんと,82
20,チャンカパーナ,NEWS,81
21,新しい恋人達に,back number,80
22,怪獣の花唄,Vaundy,79
23,Soranji,Mrs.GREEN APPLE,78
24,晩餐歌,tuki.,77
25,青と夏,Mrs.GREEN APPLE,76
26,点描の唄 feat.井上苑子,Mrs.GREEN APPLE,75
27,I wonder,Da-iCE,74
28,IYKYK,XG,73
29,アイドル,YOASOBI,72
30,唱,Ado,71
31,ファタール,GEMN,70
32,カーテンコール,優里,69
33,ダンスホール,Mrs.GREEN APPLE,68
34,かわいいだけじゃだめですか?,CUTIE STREET,67
35,モエチャッカファイア,弌誠,66
36,水平線,back number,65
37,元彼女のみなさまへ,コレサワ,64
38,僕のこと,Mrs.GREEN APPLE,63
39,高嶺の花子さん,back number,62
40,Cherish (My Love),ILLIT,61
41,風神,Vaundy,60
42,CRAZY,LE SSERAFIM,59
43,Magic,Mrs.GREEN APPLE,58
44,アポリア,ヨルシカ,57
45,コロンブス,Mrs.GREEN APPLE,56
46,GOAT,Number_i,55
47,さよーならまたいつか！,米津玄師,54
49,TAIDADA,ずっと真夜中でいいのに。,52
50,わたしの一番かわいいところ,FRUITS ZIPPER,51
51,花束,back number,50
52,がらくた,米津玄師,49
53,Magnetic,ILLIT,48
54,インフェルノ,Mrs.GREEN APPLE,47
55,Mantra,JENNIE,46
56,ドライフラワー,優里,45
57,INZM,Number_i,44
58,UP,KARINA,43
59,原因は自分にある。【別解】,原因は自分にある。,42
60,マリーゴールド,あいみょん,41
61,Subtitle,Official髭男dism,40
62,UNDEAD,YOASOBI,39
63,I'll Be There,JIN,38
64,Pretender,Official髭男dism,37
66,Lemon,米津玄師,35
67,Dystopia,ONE OK ROCK,34
68,タイムパラドックス,Vaundy,33
69,ベテルギウス,優里,32
70,Who,JIMIN,31
71,ハッピーエンド,back number,30
72,BON,Number_i,29
73,I'm a mess,MY FIRST STORY,28
74,MASCARA,King Gnu,27
76,フルーツバスケット,FRUITS ZIPPER,25
77,HAPPY BIRTHDAY,back number,24
78,"Friends, Family & God (feat. G-k.i.d & KEIJU)",Kvi Baba,23
79,W / X / Y,Tani Yuuki,22
80,モノトーン,YOASOBI,21
82,ビリミリオン,優里,19
83,クリスマスソング,back number,18
84,ロマンチシズム,Mrs.GREEN APPLE,17
85,勇者,YOASOBI,16
86,シンデレラボーイ,Saucy Dog,15
87,おかえり,Tani Yuuki,14
88,SPECIALZ,King Gnu,13
89,最高到達点,SEKAI NO OWARI,12
90,晴る,ヨルシカ,11
91,Dear,Mrs.GREEN APPLE,10
92,ビビデバ,星街すいせい,9
94,愛とU,Mega Shinnosuke,7
96,NEW KAWAII,FRUITS ZIPPER,5
97,夢幻,MY FIRST STORY × HYDE,4
99,きらり,藤井風,2
100,夜に駆ける,YOASOBI,1
