アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
清水翔太,DREAM,70,https://open.spotify.com/track/7ssY4P3yB4pcE7FWH7SvDD,64,54
安田レイ,Brand New Day,69,https://open.spotify.com/track/5DHodhUXJJBNySODQCzcOv,40,37
ケラケラ,ひとつだけ,68,https://open.spotify.com/track/22ibqf247EbAlaWJDTTlpJ,35,5
Silent Siren,ぐるぐるワンダーランド,65,https://open.spotify.com/track/3g2I4Ni0hcPTQZ5PYXy5xy,47,25
嵐,Bittersweet,64,https://open.spotify.com/track/1a2CdI5ysXBHfNKF6ofGHR,65,48
住岡梨奈,言葉にしたいんだ,62,https://open.spotify.com/track/5RtYj2aLseFzu4vJe1Xxg4,11,21
ビヨンセ,XO,59,https://open.spotify.com/track/40xhyfAPDoMtv494MfPevP,85,68
植村花菜,輝く時間の中で,56,https://open.spotify.com/track/156LZO4qGChWxUqQ6vnS91,25,19
petit milady,azurite,55,https://open.spotify.com/track/1NV1XtZrwLGCsiPzDQ4TJp,19,19
May'n,今日に恋色,54,https://open.spotify.com/track/3LRDzIlTCh00ntmbAzmvQi,42,26
ClariS,CLICK,53,https://open.spotify.com/track/3lVjrhRTt8nQ99kan7pOmj,50,46
Hello Sleepwalkers,午夜の待ち合わせ,52,https://open.spotify.com/track/0MGQHJPSWR2e2fj8VTNLYF,42,38
関取花,最後の青,51,https://open.spotify.com/track/3SiLwCGEr1tVgp1UDQmCU1,32,15
THE SECOND from EXILE,HEAD BANGIN',49,https://open.spotify.com/track/1oiqN7cXW9ZyDz1rosVamT,22,24
KANA-BOON,結晶星,48,https://open.spotify.com/track/0zd7ypzzR3gWz0vCq4c3xZ,61,34
氷川きよし,大利根ながれ月,47,https://open.spotify.com/track/4z0CY9Jyo3k7f9O6XUiZhF,41,11
ゆず,雨のち晴レルヤ,44,https://open.spotify.com/track/2wFPlYuYlCYxu2zcutQnuL,56,46
NICO Touches the Walls,ローハイド,42,https://open.spotify.com/track/4UVO99EMvjDOi7Wayo4y0K,51,20
Flower,白雪姫,40,https://open.spotify.com/track/4pZXE5QaVRX5YGpRZMUy4v,44,46
シシド・カフカ,我が儘,39,https://open.spotify.com/track/4L8M4WeYnRNQ9gXDmgouPv,28,2
SEKAI NO OWARI,RPG,38,https://open.spotify.com/track/7facNrW6VRW8s3ICZ8G1uW,64,65
Secret,I Do I Do,36,https://open.spotify.com/track/2VJYvD7MBllCaOPOdfOpSD,37,22
サカナクション,ユリイカ,33,https://open.spotify.com/track/2iFpk2lHYW6cH7i4p52AY4,66,50
天童よしみ,一声一代,31,https://open.spotify.com/track/061At44dPrnjLLrgQS1qJf,32,5
androp,One,30,https://open.spotify.com/track/6De91b168VIsGR8VuDRnss,38,19
WHITE JAM,Valentine,28,https://open.spotify.com/track/7dWEDYwIzcBkE78FS78EDB,40,33
絢香,number one,27,https://open.spotify.com/track/5Az4Gv4goIn3re8kyByetq,55,22
T.M.Revolution,Count ZERO,24,https://open.spotify.com/track/0vDSoWpnz2sfLm2BaiiSMl,52,26
moumoon,エメラルドの丘,23,https://open.spotify.com/track/3NYmGRpCkogczDZkrLaKdW,36,4
T.M.Revolution,WHITE BREATH,22,https://open.spotify.com/track/3GGST52oLSrF4DaLtVYMCI,52,53
加藤ミリヤ,Love/Affection,19,https://open.spotify.com/track/1mNJ4zHlq9OiCto6l748Hm,54,18
SAKANAMON,TOWER,18,https://open.spotify.com/track/6tzTvC4r7SdlokTxk5u6Pe,29,6
レミオロメン,粉雪,17,https://open.spotify.com/track/1Vimcaq6kgTq6xgHSnr4pS,51,62
ゆず,ヒカレ,16,https://open.spotify.com/track/1GKo11Rq4FtkZFMIl1olop,56,39
小柳ゆき,ドリーマー,15,https://open.spotify.com/track/4P6SKyRrYo6K1AcxmZo4Kv,45,0
AKB48,前しか向かねえ,13,https://open.spotify.com/track/1fFHv2WKSpD6rKSRACMYc4,56,27
トワ・エ・モワ,虹と雪のバラード,12,https://open.spotify.com/track/074bSsn6UyxFs1IVqVVR8T,26,31
ヒトリエ,センスレス・ワンダー,11,https://open.spotify.com/track/4rDbWSv6KWBBYk64hYBkui,45,24
AAA,恋音と雨空,10,https://open.spotify.com/track/3KcT7QC0x2XyL6jtfLoGPm,54,48
ゆず,表裏一体,2,https://open.spotify.com/track/6aBOMQNskwFTl330WjOkrO,56,44
EXILE,EXILE PRIDE〜こんな世界を愛するため〜,1,https://open.spotify.com/track/5BCuAsrrPDX0i6QHiRlwFJ,60,42
