アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
Hey!Say!JUMP,AinoArika,100,https://open.spotify.com/track/5zoxLmxyiwE0eBwT8TbEdH,56,33
東方神起,Hide & Seek,99,https://open.spotify.com/track/4TIhRy7fxK9LDfgDOjKF76,52,16
SEKAI NO OWARI,スノーマジックファンタジー,97,https://open.spotify.com/track/0hq1cLVaFYZwNf7Nepy5NF,64,49
back number,fish,96,https://open.spotify.com/track/067KuBjJphffCxUkxDCmcG,76,50
家入レオ,チョコレート,93,https://open.spotify.com/track/5ohq6Zdcwl7VSNUA3wrWEf,51,29
aiko,君の隣,92,https://open.spotify.com/track/5EnpzaVx6OTKQvRq4xkExI,62,25
miwa,Faith,91,https://open.spotify.com/track/3Hopv4QLlqFgKLdJ3z8iIG,53,30
田村ゆかり,秘密の扉から会いにきて,89,https://open.spotify.com/track/6MDuCmSdP00j47oEavVBwR,34,31
UNISON SQUARE GARDEN,harmonized finale,88,https://open.spotify.com/track/2L7CbheAwtkzVdmlS3PIfQ,55,35
板野友美,little,87,https://open.spotify.com/track/68cY5yxsPA2xtvHLnuTKc6,23,14
KREVA,トランキライザー,84,https://open.spotify.com/track/3fQ1qQdNgUbYm6u6fjxt1C,45,25
坂本真綾,SAVED.,83,https://open.spotify.com/track/0Q3M2UGqG8UisohFJUZ0QO,45,11
ファンキー加藤,My VOICE,81,https://open.spotify.com/track/22kEKXEMyDUiscSTF56hYl,18,17
ViViD,光-HIKARI-,80,https://open.spotify.com/track/5Vmha5gd1H4CinvlwkHX7J,33,35
坂本真綾,Be mine!,79,https://open.spotify.com/track/7h89okKQovZ0Dw2SXGnaDW,45,24
コブクロ,今、咲き誇る花たちよ,77,https://open.spotify.com/track/7sGcm1Di48z3GepkfsBfTx,58,46
きゃりーぱみゅぱみゅ,ゆめのはじまりんりん,76,https://open.spotify.com/track/7gBIznDkQDsTelQnBmxzjN,51,33
AKB48,恋するフォーチュンクッキー,74,https://open.spotify.com/track/3Tw2WaAaeRj0YKtTUogJVz,56,50
μ's,タカラモノズ,73,https://open.spotify.com/track/6k5rvaHG1lD6wJirlEGse3,45,27
サカナクション,グッドバイ,72,https://open.spotify.com/track/7uqJ3N5wiISiyzkQMMCeMR,66,47
chay,I am,71,https://open.spotify.com/track/3s4FCszZPPAsqlAcwTDP0b,40,9
