rank,song_title,artist_name,score
1,Subtitle,Official髭男dism,100
2,KICK BACK,米津玄師,99
3,ツキヨミ,King & Prince,98
4,STARS,M!LK,97
5,Stardom,King Gnu,96
6,運命 CHACHACHACHA〜N,OCHA NORMA,95
7,新時代 (ウタ from ONE PIECE FILM RED),Ado,94
8,PARTY7 〜GENEjaNIGHT〜,GENERATIONS from EXILE TRIBE,93
9,Overdose,なとり,92
10,祝福,YOASOBI,91
11,W / X / Y,Tani Yuuki,90
12,ミックスナッツ,Official髭男dism,89
13,スターマイン,Da-iCE,88
14,すずめ (feat. 十明),RADWIMPS,87
15,カナタハルカ,RADWIMPS,86
16,SPECTRA,INI,85
17,ROUND UP feat. MIYAVI,THE RAMPAGE from EXILE TRIBE,84
18,私は最強 (ウタ from ONE PIECE FILM RED),Ado,83
19,クリスマスイブ,優里,82
20,シンデレラボーイ,Saucy Dog,81
21,ANTIFRAGILE,LE SSERAFIM,80
22,ダンスホール,Mrs.GREEN APPLE,79
23,もう一度,Tani Yuuki,78
24,Dreamers,Jung Kook,77
25,アイラブユー,back number,76
26,ドライフラワー,優里,75
27,First Love,宇多田ヒカル,74
28,Habit,SEKAI NO OWARI,73
29,SOUVENIR,BUMP OF CHICKEN,72
30,ちゅ、多様性。,ano,71
31,ELEVEN,IVE,70
32,クリスマスソング,back number,69
33,Melody,8LOOM,68
34,ベテルギウス,優里,67
35,水平線,back number,66
36,Soranji,Mrs.GREEN APPLE,65
37,色彩,yama,64
38,逆光 (ウタ from ONE PIECE FILM RED),Ado,63
39,ウタカタララバイ (ウタ from ONE PIECE FILM RED),Ado,62
40,なんでもないよ、,マカロニえんぴつ,61
41,愛とか恋とか,Novelbright,60
42,CHAINSAW BLOOD,Vaundy,59
43,残機,ずっと真夜中でいいのに。,58
44,残響散歌,Aimer(エメ),57
45,本当はね、,ヤングスキニー,56
46,HELLO,TREASURE,55
47,HIKARI,8LOOM,54
48,恋だろ,wacci,53
49,私は最強,Mrs.GREEN APPLE,52
50,第ゼロ感,10-FEET,51
51,Come Again,8LOOM,50
52,可愛くてごめん (feat. かぴ),HoneyWorks,49
53,一斉ノ喝采,LiSA,48
54,Pretender,Official髭男dism,47
55,夜に駆ける,YOASOBI,46
56,grace,藤井風,45
57,群青,YOASOBI,44
58,怪獣の花唄,Vaundy,43
59,Talk that Talk,TWICE,42
60,CASE 143,Stray Kids,41
61,JUMP,幾田りら,40
62,Blue Moon,NiziU,39
63,first death,TK from 凛として時雨,38
64,あのバンド,結束バンド,37
65,置き手紙,Vaundy,36
66,君の花になる,8LOOM,35
67,きらり,藤井風,34
68,マリーゴールド,あいみょん,33
69,いつか,Saucy Dog,32
70,Dynamite,BTS,31
71,Cry Baby,Official髭男dism,30
72,After LIKE,IVE,29
73,バニラ,きゃない,28
74,ひたむき,SUPER BEAVER,27
75,踊り子,Vaundy,26
76,CITRUS,Da-iCE,25
77,カメレオン,King Gnu,24
78,レオ,優里,23
79,I LOVE…,Official髭男dism,22
80,エジソン,水曜日のカンパネラ,21
81,ベルベットの詩,back number,20
82,恋人たちのクリスマス,マライア・キャリー,19
83,115万キロのフィルム,Official髭男dism,18
84,シャッター,優里,17
85,怪物,YOASOBI,16
86,Mela!,緑黄色社会,15
87,点描の唄 feat.井上苑子,Mrs.GREEN APPLE,14
88,紫苑,Saucy Dog,13
89,ギターと孤独と蒼い惑星,結束バンド,12
90,高嶺の花子さん,back number,11
91,サウダージ,ポルノグラフィティ,10
92,Butter,BTS,9
93,白い恋人達,桑田佳祐,8
94,"トウキョウ・シャンディ・ランデヴ feat. 花譜, ツミキ",MAISONdes,7
95,雨燦々,King Gnu,6
96,白日,King Gnu,5
97,青春コンプレックス,結束バンド,4
98,一途,King Gnu,3
99,逆夢,King Gnu,2
100,死ぬのがいいわ,藤井風,1
