rank,song_title,artist_name,score
1,Actually…,乃木坂46,100
2,カメレオン,King Gnu,99
3,残響散歌,Aimer(エメ),98
4,CALL 119,INI,97
5,Bye-Good-Bye,BE:FIRST,96
6,ドライフラワー,優里,95
7,ベテルギウス,優里,94
8,永遠,Mr.Children,93
9,シンデレラボーイ,Saucy Dog,92
10,まつり,藤井風,91
11,なんでもないよ、,マカロニえんぴつ,90
12,逆夢,King Gnu,89
13,一途,King Gnu,88
14,水平線,back number,87
15,Butter,BTS,86
16,結末は次のトラフィックライト,原因は自分にある。,85
17,W / X / Y,Tani Yuuki,84
18,群青,YOASOBI,83
19,だって今日まで恋煩い,BMK,82
20,CITRUS,Da-iCE,81
21,Dynamite,BTS,80
22,Cry Baby,Official髭男dism,79
23,ニュー・マイ・ノーマル,Mrs.GREEN APPLE,78
24,夜に駆ける,YOASOBI,77
25,恋風邪にのせて,Vaundy,76
26,怪物,YOASOBI,75
27,きらり,藤井風,74
28,WA DA DA,Kep1er,73
29,勿忘,Awesome City Club,72
30,シャッター,優里,71
31,レオ,優里,70
32,Permission to Dance,BTS,69
33,うるうびと,RADWIMPS,68
34,踊,Ado,67
35,踊り子,Vaundy,66
36,Pretender,Official髭男dism,65
37,心という名の不可解,Ado,64
38,ばかまじめ,Creepy Nuts×Ayase×幾田りら,63
39,双葉,あいみょん,62
40,DARARI,TREASURE,61
41,ハート,あいみょん,60
42,廻廻奇譚,Eve,59
43,MANIAC,Stray Kids,58
44,魔法の絨毯,川崎鷹也,57
45,The Feels,TWICE,56
46,虹,菅田将暉,55
47,Feel My Rhythm,Red Velvet,54
48,YOKAZE,変態紳士クラブ,53
49,ステイ,ザ・キッド・ラロイxジャスティン・ビーバー,52
50,マリーゴールド,あいみょん,51
51,O.O,NMIXX,50
52,悪魔の子,ヒグチアイ,49
53,阿修羅ちゃん,Ado,48
54,三原色,YOASOBI,47
55,Another Day Goes By,Lizabet,46
56,裸の勇者,Vaundy,45
57,POP SONG,米津玄師,44
58,スパークル,幾田りら,43
59,Mela!,緑黄色社会,42
60,いつか,Saucy Dog,41
61,白日,King Gnu,40
62,I LOVE…,Official髭男dism,39
63,ELEVEN,IVE,38
64,猫,DISH//,37
65,ツキミソウ,Novelbright,36
66,点描の唄 feat.井上苑子,Mrs.GREEN APPLE,35
67,"Stand by me, Stand by you.",平井大,34
68,うっせぇわ,Ado,33
69,炎,LiSA,32
70,怪獣の花唄,Vaundy,31
71,ギラギラ,Ado,30
72,JIKJIN,TREASURE,29
73,永遠のあくる日,Ado,28
74,春を告げる,yama,27
75,115万キロのフィルム,Official髭男dism,26
76,ミライチズ,夜のひと笑い,25
77,裸の心,あいみょん,24
78,BOY,King Gnu,23
79,3月9日,レミオロメン,22
80,おもかげ (produced by Vaundy),milet & Aimer(エメ) & 幾田りら,21
81,共鳴,SixTONES,20
82,ヨワネハキ,"MAISONdes feat.和ぬか, asmi",19
83,ハルカ,YOASOBI,18
84,沈丁花,DISH//,17
85,もう少しだけ,YOASOBI,16
86,カタオモイ,Aimer(エメ),15
87,恋人ごっこ,マカロニえんぴつ,14
88,ブラザービート,Snow Man,13
89,アルデバラン,AI,12
90,ハッピーエンドとそれから,私立恵比寿中学,11
91,かくれんぼ,優里,10
92,青、その他,原因は自分にある。,9
93,Lemon,米津玄師,8
94,不可幸力,Vaundy,7
95,高嶺の花子さん,back number,6
96,のびしろ,Creepy Nuts,5
97,高純度romance,KinKi Kids,4
98,ハルノヒ,あいみょん,3
99,MIU,中村佳穂,2
100,さくら,ケツメイシ,1
