Artist,Track,URL,MP3_Path,Debut,Max,Mean,Std,Length,Sum,Skewness,Kurtosis
Mrs.GREEN APPLE,CHEERS,https://open.spotify.com/track/3VfcTMAgdty9VYOgeuyqiN,./downloaded_mp3/Mrs.GREEN APPLE_CHEERS.mp3,59,75,53.0,21.46,5,265,-0.47,-1.63
Kis-My-Ft2,Edge of Days,https://open.spotify.com/track/6GMFfvrpM3hoyFq32wAU5Z,./downloaded_mp3/Kis-My-Ft2_Edge of Days.mp3,50,100,47.09,24.85,11,518,0.77,-0.6
Novelbright,Walking with you,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd,./downloaded_mp3/Novelbright_Walking with you.mp3,19,68,33.87,15.95,120,4064,-0.19,-0.83
King Gnu,傘,https://open.spotify.com/track/4Rbe954EM88dRNqZEws0rT,./downloaded_mp3/King Gnu_傘.mp3,84,92,60.03,25.64,34,2041,-1.02,-0.18
TWICE,Feel Special,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj,./downloaded_mp3/TWICE_Feel Special.mp3,83,97,44.28,25.56,75,3321,0.16,-1.06
星野源,Same Thing (feat. Superorganism),https://open.spotify.com/track/0NZNtJar3qon6oVIR6XjIA,./downloaded_mp3/星野源_Same Thing (feat. Superorganism).mp3,81,89,51.29,28.46,7,359,0.03,-1.8
B'z,兵、走る,https://open.spotify.com/track/4SvUlGYsyCe5yhs2qRvE8r,./downloaded_mp3/B'z_兵、走る.mp3,80,86,45.0,33.54,7,315,0.14,-2.09
TWICE,Fake & True,https://open.spotify.com/track/7Fqy2gKBHTgO91iFuhlgof,./downloaded_mp3/TWICE_Fake & True.mp3,79,82,53.67,27.4,6,322,-0.27,-1.89
椎名林檎,公然の秘密,https://open.spotify.com/track/7fumKCLGohbOKbXhCXD3md,./downloaded_mp3/椎名林檎_公然の秘密.mp3,73,73,43.3,22.07,10,433,-0.29,-1.26
UNISON SQUARE GARDEN,Phantom Joke,https://open.spotify.com/track/2FJGdg5uSpc3gFt9LDpiaq,./downloaded_mp3/UNISON SQUARE GARDEN_Phantom Joke.mp3,69,93,55.71,28.87,7,390,-0.41,-1.27
Official髭男dism,ビンテージ,https://open.spotify.com/track/0U9vBvoG3LN1PnuVl47E3W,./downloaded_mp3/Official髭男dism_ビンテージ.mp3,66,75,31.09,19.31,32,995,0.24,-0.76
UVERworld,ROB THE FRONTIER,https://open.spotify.com/track/0vgQEQxb49LCKEH5Gg7E4z,./downloaded_mp3/UVERworld_ROB THE FRONTIER.mp3,65,95,55.33,45.28,3,166,-0.2,-2.33
嵐,Love so sweet,https://open.spotify.com/track/10G6iBGzoMi9qXgDV9qyBy,./downloaded_mp3/嵐_Love so sweet.mp3,54,90,43.57,25.39,23,1002,0.15,-1.26
嵐,A・RA・SHI,https://open.spotify.com/track/1kdGYCHCff09E2FASM5IVY,./downloaded_mp3/嵐_A・RA・SHI.mp3,51,80,38.89,25.14,9,350,0.34,-1.63
WANIMA,りんどう,https://open.spotify.com/track/3jAjSQXOTgQDHjRtlvW6P6,./downloaded_mp3/WANIMA_りんどう.mp3,47,57,36.33,27.59,3,109,-0.33,-2.33
SuperM,Jopping,https://open.spotify.com/track/5WrEilrRI5cIW0DxMvQYPZ,./downloaded_mp3/SuperM_Jopping.mp3,33,74,43.75,21.2,4,175,0.55,-1.83
KinKi Kids,光の気配,https://open.spotify.com/track/699avqZNBcRwdHyfFlZpp3,./downloaded_mp3/KinKi Kids_光の気配.mp3,32,100,46.2,40.66,5,231,0.22,-2.0
藍井エイル,星が降るユメ,https://open.spotify.com/track/1MphKuJ1ZLJ7bZ3oppFJAR,./downloaded_mp3/藍井エイル_星が降るユメ.mp3,22,51,35.5,15.67,4,142,0.02,-2.41
嵐,Happiness,https://open.spotify.com/track/0Ns63lt28epRgED3Tnhmth,./downloaded_mp3/嵐_Happiness.mp3,12,79,29.71,27.61,14,416,0.81,-0.91
アン・マリー,2002,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,./downloaded_mp3/アン・マリー_2002.mp3,11,27,13.0,13.11,3,39,0.15,-2.33
GENERATIONS from EXILE TRIBE,EXPerience Greatness,https://open.spotify.com/track/6cMp1SJGCf8Df8YiFJMz00,./downloaded_mp3/GENERATIONS from EXILE TRIBE_EXPerience Greatness.mp3,82,82,39.0,39.28,3,117,0.22,-2.33
Mrs.GREEN APPLE,Attitude,https://open.spotify.com/track/7zbsxhqTb3yDICWuNBCodY,./downloaded_mp3/Mrs.GREEN APPLE_Attitude.mp3,12,35,18.67,14.22,3,56,0.37,-2.33
嵐,Turning Up,https://open.spotify.com/track/4zdQmfTLWgGd5mAX4MUIaX,./downloaded_mp3/嵐_Turning Up.mp3,85,99,40.22,33.69,45,1810,0.47,-1.52
sumika,願い,https://open.spotify.com/track/5VDEZZ53H64DqZ3T8GhPF1,./downloaded_mp3/sumika_願い.mp3,84,96,61.86,25.89,14,866,-0.7,-0.79
BLUE ENCOUNT,ポラリス,https://open.spotify.com/track/28DlaPydCnrs8NxYOnUPZ8,./downloaded_mp3/BLUE ENCOUNT_ポラリス.mp3,77,77,45.67,27.43,3,137,0.35,-2.33
GENERATIONS from EXILE TRIBE,One in a Million -奇跡の夜に-,https://open.spotify.com/track/1eIl9qFUGihchPAfSF258T,./downloaded_mp3/GENERATIONS from EXILE TRIBE_One in a Million -奇跡の夜に-.mp3,70,70,58.5,14.49,8,468,-0.91,-1.0
NMB48,初恋至上主義,https://open.spotify.com/track/3DrOHt0orNy2dj25qMEMbw,./downloaded_mp3/NMB48_初恋至上主義.mp3,33,100,49.71,35.23,7,348,0.2,-1.91
eill,SPOTLIGHT,https://open.spotify.com/track/4IfoUUgjFsV8E1XezCbBJ2,./downloaded_mp3/eill_SPOTLIGHT.mp3,7,67,46.0,33.81,3,138,-0.38,-2.33
どついたれ本舗,あゝオオサカdreamin'night,https://open.spotify.com/track/1Iyxp6vMuJ4mqwColjXE6O,./downloaded_mp3/どついたれ本舗_あゝオオサカdreamin'night.mp3,1,94,49.75,41.74,4,199,-0.08,-2.18
=LOVE,ズルいよ ズルいね,https://open.spotify.com/track/4bPbCPyNQEWxRvJ8IOLSQZ,./downloaded_mp3/=LOVE_ズルいよ ズルいね.mp3,100,100,53.67,49.22,3,161,-0.11,-2.33
[ALEXANDROS],あまりにも素敵な夜だから,https://open.spotify.com/track/72qoAefwEGoez7C1lSPOCz,./downloaded_mp3/[ALEXANDROS]_あまりにも素敵な夜だから.mp3,83,83,64.0,19.52,3,192,-0.05,-2.33
Superfly,フレア,https://open.spotify.com/track/0CMFJXFDYUs9idk51LRPz1,./downloaded_mp3/Superfly_フレア.mp3,81,81,51.75,22.78,12,621,-0.29,-1.57
M!LK,ERA,https://open.spotify.com/track/3XinMXXxbf9Aaxffm5Oe7E,./downloaded_mp3/M!LK_ERA.mp3,96,96,47.67,45.76,3,143,0.12,-2.33
三代目 J SOUL BROTHERS from EXILE TRIBE,冬空,https://open.spotify.com/track/5m0V4Dgf2QaXvLa9uhTs5Z,./downloaded_mp3/三代目 J SOUL BROTHERS from EXILE TRIBE_冬空.mp3,93,97,73.6,27.17,5,368,-0.62,-1.51
Perfume,再生,https://open.spotify.com/track/1ZjL8ud1dhT9PDVe3Ov8kF,./downloaded_mp3/Perfume_再生.mp3,73,73,49.4,18.64,5,247,-0.06,-1.76
