rank,song_title,artist_name,score
2,Lemon,米津玄師,99
4,アイラブユー,西野カナ,97
6,What is Love?,TWICE,95
7,ガラスを割れ!,欅坂46,94
8,シンクロニシティ,乃木坂46,93
9,Take Me Under,MAN WITH A MISSION,92
11,ドラえもん,星野源,90
12,零 -ZERO-,福山雅治,89
14,さよならエレジー,菅田将暉,87
15,シェイプ・オブ・ユー,エド・シーラン,86
16,Change,ONE OK ROCK,85
17,ウェイク・ミー・アップ!,アヴィーチー,84
18,打上花火,DAOKO × 米津玄師,83
19,Just The Way You Are,EXILE ATSUSHI,82
20,DNA,BTS (防弾少年団),81
21,満月の夜なら,あいみょん,80
22,ノーダウト,Official髭男dism,79
23,Don't Leave Me,BTS (防弾少年団),78
24,笑一笑〜シャオイーシャオ!〜,ももいろクローバーZ,77
25,ウララ,ビッケブランカ,76
27,ユア・ソング(僕の歌は君の歌),レディー・ガガ,74
28,From Now On,SHINee,73
29,流星,藍井エイル,72
31,ピースサイン,米津玄師,70
32,春はどこから来るのか?,NGT48,69
34,瞬き,back number,67
35,新宝島,サカナクション,66
36,フレンズ,マシュメロ & アン・マリー,65
37,ディス・イズ・ミー,キアラ・セトル & ザ・グレイテスト・ショーマン・アンサンブル,64
38,Candy Pop,TWICE,63
40,Let Go,BTS (防弾少年団),61
41,WanteD! WanteD!,Mrs.GREEN APPLE,60
43,ノー・ティアーズ・レフト・トゥ・クライ,アリアナ・グランデ,58
44,アイネクライネ,米津玄師,57
45,Against,乃木坂46,56
46,Wherever you are,ONE OK ROCK,55
48,灰色と青(+ 菅田将暉),米津玄師,53
49,欲望者,NMB48,52
50,HALF,女王蜂,51
51,LIKEY,TWICE,50
52,ギュッと,Little Glee Monster,49
53,無限未来,Perfume,48
55,フェイデッド,アラン・ウォーカー,46
56,ジャスト・ザ・ウェイ・ユー・アー,ブルーノ・マーズ,45
57,ハバナ feat.ヤング・サグ,カミラ・カベロ,44
58,Heart Shaker,TWICE,43
59,ウェイティング・フォー・ラヴ,アヴィーチー,42
61,ザ・ミドル,"ゼッド,マレン・モリス,グレイ",40
62,泣きたいくらい,大原櫻子,39
63,恋,星野源,38
64,タラレバ流星群,ロザリーナ,37
65,LOSER,米津玄師,36
66,サイレントマジョリティー,欅坂46,35
67,アップタウン・ファンク feat.ブルーノ・マーズ,マーク・ロンソン,34
68,奏(かなで),スキマスイッチ,33
69,愛をこめて花束を,Superfly,32
70,不協和音,欅坂46,31
71,24K・マジック,ブルーノ・マーズ,30
72,TT,TWICE,29
73,EPCOTIA,NEWS,28
75,BBoom BBoom,MOMOLAND,26
76,サザンカ,SEKAI NO OWARI,25
77,リメンバー・ミー,シシド・カフカ feat.東京スカパラダイスオーケストラ,24
78,小さな恋のうた,MONGOL800,23
80,ダンシング・ヒーロー,荻野目洋子,21
81,風に吹かれても,欅坂46,20
82,フィネス feat.カーディ・B,ブルーノ・マーズ,19
83,ワン・キス,カルヴィン・ハリス & デュア・リパ,18
84,愛を伝えたいだとか,あいみょん,17
85,ザ・グレイテスト・ショー,ヒュー・ジャックマン、キアラ・セトル、ザック・エフロン、ゼンデイヤ & ザ・グレイテスト・ショーマン・アンサンブル,16
86,ステイ,ゼッド & アレッシア・カーラ,15
87,ザ・ナイツ,アヴィーチー,14
88,808,Suchmos,13
89,The Beginning,ONE OK ROCK,12
91,明日も,SHISHAMO,10
92,ひまわりの約束,秦基博,9
95,雨あがりのステップ,新しい地図,6
96,ロキ,みきとP,5
97,シンデレラガール,King & Prince,4
98,My Star,EXILE,3
100,シグナル,WANIMA,1
