アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
あいみょん,愛を伝えたいだとか,47,https://open.spotify.com/track/0N8Xztr4pBHJ7V0moJWhbO,70,71
BTS (防弾少年団),FAKE LOVE,46,https://open.spotify.com/track/6m1TWFMeon7ai9XLOzdbiR,86,76
シン & ふうか,体の芯からまだ燃えているんだ,45,https://open.spotify.com/track/1j5C2C0iDWOw6zo2Odurm6,13,30
Mrs.GREEN APPLE,青と夏,44,https://open.spotify.com/track/0a3587n25Xhw098UeEbeJq,79,63
家入レオ,もし君を許せたら,42,https://open.spotify.com/track/44RS7mk1YdSSA09lkH6sN8,51,41
Mr.Children,himawari,41,https://open.spotify.com/track/31Ha1qQFLlxKaXIWjwWdez,66,50
The Birthday,青空,40,https://open.spotify.com/track/3Frf5LyRuSOowJu6Ir9875,42,36
Mr.Children,Starting Over,39,https://open.spotify.com/track/4I87AgUvLk5VZqu7XM3MXq,66,48
きゃりーぱみゅぱみゅ,つけまつける,38,https://open.spotify.com/track/3ou1fnaevjh2rj6gSNLTim,51,43
米津玄師,ピースサイン,37,https://open.spotify.com/track/364JzOajs76bJymjHm3sVY,80,73
back number,オールドファッション,36,https://open.spotify.com/track/0Xn30nT5EKFPsWvpiJ2Iav,76,68
槇原敬之,記憶,35,https://open.spotify.com/track/7obTbPBPotM6OVsWKtdPxn,58,15
TWICE,Dance The Night Away,34,https://open.spotify.com/track/281tmNk46TBQS9ACYMLYyA,83,57
TWICE,TT,32,https://open.spotify.com/track/0PAyiPTz8gL0udQnSasc5G,83,49
Mr.Children,しるし,31,https://open.spotify.com/track/7dU6ZrD3sT9qyHE5mX5Cjc,66,60
TWICE,What is Love?,30,https://open.spotify.com/track/0auI49a6lE4phcRVY8hKiY,83,42
androp,Hikari,28,https://open.spotify.com/track/4Dxdlxky5TV96ibYwFUxhp,38,49
NMB48,僕だって泣いちゃうよ,27,https://open.spotify.com/track/3Av81zmIVL3orQivy2mxcV,39,27
DREAMS COME TRUE,あなたとトゥラッタッタ♪,26,https://open.spotify.com/track/25HLzK7LscR8bGjZpcJC6n,60,39
高橋優,ありがとう,25,https://open.spotify.com/track/4bD0Qm7uhLsrI0wOn6SlnW,49,32
星野源,恋,24,https://open.spotify.com/track/5Hu29JT4xtbRUBTZeOAjxW,65,61
sumika,ファンファーレ,23,https://open.spotify.com/track/4VPYji7qXaY3RbXPA18qH3,59,29
Mr.Children,Your Song,22,https://open.spotify.com/track/13fJ9LxecEw8QyRhqGxwcP,66,40
スキマスイッチ,奏(かなで),21,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG,60,73
BTS (防弾少年団),DNA,20,https://open.spotify.com/track/2ngmiq1KoYn3x25VOmvd8F,86,71
菅田将暉,さよならエレジー,19,https://open.spotify.com/track/3oYD2O31b05fILFpv0AXRI,59,67
欅坂46,サイレントマジョリティー,18,https://open.spotify.com/track/6aZfTPxaGl5BayfBGqdmC2,48,43
ハジ→,カタオモイ。,17,https://open.spotify.com/track/6Qmn5rzfQyWsxdkrx0Yt2r,48,41
Mr.Children,Sign,15,https://open.spotify.com/track/5ZLkGLEYYDlgcDXK6A2vYO,66,61
ONE OK ROCK,Wherever you are,12,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm,71,66
星野源,ドラえもん,11,https://open.spotify.com/track/3CFHYXV4CiK1DpXs4xZ6m7,65,25
Mr.Children,名もなき詩,5,https://open.spotify.com/track/60ba7YZ3yqbCDGAkPNXzBh,66,62
サンボマスター,輝きだして走ってく,4,https://open.spotify.com/track/06BIna6ik1U4hoR0XlSfzw,53,44
Mr.Children,365日,3,https://open.spotify.com/track/2nq1Q2yL4jSekEfki6Ab2M,66,59
