アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
King & Prince,Memorial,100,https://open.spotify.com/track/6h20JFI2bFyv54DdIsRCcS,63,45
DA PUMP,U.S.A.,99,https://open.spotify.com/track/4qZyuyqLoZ3CaH79rGvJFR,45,48
米津玄師,Lemon,98,https://open.spotify.com/track/04TshWXkhV1qkqHzf31Hn6,80,72
椎名林檎と宮本浩次,獣ゆく細道,95,https://open.spotify.com/track/1b8tkaZy5pnsrKj5ettPPf,65,54
SEKAI NO OWARI,イルミネーション,94,https://open.spotify.com/track/24BhYE4GTnDoVnzmNJVwEe,64,43
U-KISS,SCANDAL,93,https://open.spotify.com/track/6D3vdW4vvDhRhqG5DejmE0,38,7
Superfly,Gifts,92,https://open.spotify.com/track/7D2nJ2WvQISZTAP7gLjxy0,59,39
Kis-My-Ft2,君、僕。,90,https://open.spotify.com/track/4iLRtlRQidWhMmPosMd2XR,49,24
GFRIEND,Memoria,88,https://open.spotify.com/track/1qlcxnusXxUj3Or6hyS8pK,59,40
Nissy(西島隆弘),トリコ,87,https://open.spotify.com/track/04vWAqnvToa2v4D4A2yhzH,52,56
星野源,アイデア,86,https://open.spotify.com/track/7jgqNMnqAT9FghC1uSYTFF,65,63
十龍之介(佐藤拓也),my 10plate,84,https://open.spotify.com/track/6nWrBa58uZ5NSTNrtJJJfe,24,24
あいみょん,マリーゴールド,83,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7,70,72
西野カナ,Bedtime Story,82,https://open.spotify.com/track/5tV9q9nBBjMl8inUdrJeyB,63,44
LIP×LIP,夢ファンファーレ,81,https://open.spotify.com/track/1corYorswlHDf2RbnZAkMc,40,40
DAOKO × 米津玄師,打上花火,80,https://open.spotify.com/track/7pcTLUekZJQnzDOUDuExVJ,54,61
Mr.Children,HANABI,79,https://open.spotify.com/track/0AU7xhipAm9Saq0k8A9Iua,66,67
back number,大不正解,78,https://open.spotify.com/track/3K4060BYVvhMef8WEjDdcQ,76,54
Official髭男dism,Stand By You,77,https://open.spotify.com/track/5D8UugGdM9n9hMsiminaZN,71,54
TWICE,BDZ,76,https://open.spotify.com/track/6ceKChoZYLdw24Ph1CDFUJ,83,58
欅坂46,アンビバレント,75,https://open.spotify.com/track/5WDKR3hzbHiXWgbMPyOcLk,48,43
E-girls,Perfect World,74,https://open.spotify.com/track/0BdKPVRZlsQU00OJE4AiVh,46,31
平井堅,half of me,73,https://open.spotify.com/track/343I1snlcORf98FuxeiLaO,55,35
米津玄師,LOSER,71,https://open.spotify.com/track/7AqUE5AY514dbzeOAfJRa0,80,67
NGT48,世界の人へ,70,https://open.spotify.com/track/5wcE1l2oXNp1L1xAWXgEzb,26,26
BTS (防弾少年団),IDOL,69,https://open.spotify.com/track/1e8J3XClxZbFmvIHLI8CE4,86,73
TK from 凛として時雨,katharsis,68,https://open.spotify.com/track/7MtpXnAhLKdkXjoFaK95TB,58,57
ももいろクローバーZ,天国のでたらめ,66,https://open.spotify.com/track/7fqB6WhHglqYlEKvo0f6GK,47,14
BUMP OF CHICKEN,シリウス,65,https://open.spotify.com/track/3de6SQfvlnNPGa8eyrAZrY,63,38
大城美友,オレンジバタフライ,64,https://open.spotify.com/track/4oklQtJkt6o4Hf1EYqQzOb,10,4
放課後プリンセス,輝夜に願いを,63,https://open.spotify.com/track/63k8YYO3lBpnX30RJDMfGo,7,3
BLACKPINK,DDU-DU DDU-DU,62,https://open.spotify.com/track/4jUEHIrc443f743JbyLN0y,82,49
あいみょん,君はロックを聴かない,61,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM,70,70
黒崎真音,Gravitation,60,https://open.spotify.com/track/2P0NKKycnAxIt5Yi2a8ORx,37,37
NEWS,「生きろ」,59,https://open.spotify.com/track/0vEtQZ9Fux7nMuIKw95b2q,54,43
Aimer(エメ),Black Bird,58,https://open.spotify.com/track/1ZcNroTXRfcL1soYCUolAV,66,42
テミン,MARS,57,https://open.spotify.com/track/610w8Uhhcy7Pbh9VreZW6g,59,32
MOMOLAND,BAAM,56,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW,51,59
King & Prince,シンデレラガール,55,https://open.spotify.com/track/3nqKzoptpnyofFLEkTtd1v,63,59
The Floor,革命を鳴らせ,53,https://open.spotify.com/track/70q5Xsg69nyNU7gOOpYZnt,23,11
みきとP,ロキ,52,https://open.spotify.com/track/6rNcfp4dn7ZNPVUH6rZ7Lq,47,38
米津玄師,アイネクライネ,51,https://open.spotify.com/track/45YBVp6zMwQZRbUDcPzmMB,80,69
Mr.Children,Tomorrow Never Knows,50,https://open.spotify.com/track/2CbDcSVFCbMSfLMoZiAFYN,66,64
