アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
SEKAI NO OWARI,Habit,100,https://open.spotify.com/track/2uMNMcjjUz8oNIxjIu20qE,64,59
Official髭男dism,ミックスナッツ,99,https://open.spotify.com/track/60ReNXcPcsVFd7nUuQw5HZ,71,59
Tani Yuuki,W / X / Y,97,https://open.spotify.com/track/6ybLgHBGIxR8R6IIVmaipO,59,59
Saucy Dog,シンデレラボーイ,94,https://open.spotify.com/track/1Vqs0lXeJafYZz2sxnfB3V,65,68
優里,ベテルギウス,93,https://open.spotify.com/track/4JK1kDUdH9RTBQrrSO1QfR,67,69
優里,ドライフラワー,92,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J,67,64
米津玄師,M八七,90,https://open.spotify.com/track/4616jKiFtLfIRQ0SfEM6XL,80,54
Aimer(エメ),残響散歌,89,https://open.spotify.com/track/7v8wKvNQQIxkugCFFjrkaO,66,70
Novelbright,愛とか恋とか,88,https://open.spotify.com/track/4McP7SOTK2NWkydOcDCajC,63,56
星野源,喜劇,86,https://open.spotify.com/track/6pllZAdgBf4QTcFUrF3DzL,65,60
back number,水平線,85,https://open.spotify.com/track/5m1i6hq7dmRlp3c1utE48L,76,63
幾田りら,レンズ,84,https://open.spotify.com/track/6RiJ001BNFvjcOvt8r6VNG,65,49
マカロニえんぴつ,なんでもないよ、,83,https://open.spotify.com/track/5W7Y92LB4jWvu9NeEQ0GZl,68,70
BTS,Dynamite,82,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW,86,79
Uru,それを愛と呼ぶなら,81,https://open.spotify.com/track/3ibqi5ANZtNI7QXOgUnFsL,61,58
BTS,Butter,79,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB,86,67
nobodyknows+,ココロオドル,78,https://open.spotify.com/track/5tcnPaFhcpSLx7ihFwI9DM,49,53
YOASOBI,夜に駆ける,76,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js,73,70
きゃない,バニラ,75,https://open.spotify.com/track/0zfNtgPJ5FLkbveRjSdCMb,44,54
Kep1er,Up!,74,https://open.spotify.com/track/6P2IZsIyNVeOl712sFg4lc,54,43
YOASOBI,群青,73,https://open.spotify.com/track/0T4AitQuq8IJhWBWuZwkFA,73,63
有華,Partner,72,https://open.spotify.com/track/48lsRmp9AC6tU4rP9QJx4H,41,48
Da-iCE,CITRUS,71,https://open.spotify.com/track/2IL2asrtx7XM1y8fu2RMnR,62,66
鐘嵐珠(法元明菜),Eutopia,70,https://open.spotify.com/track/43sKKFhsOjR09MGjt2ji8V,27,38
ONE OK ROCK,Save Yourself,69,https://open.spotify.com/track/1xeikRZtZYOymGJAxOm1dr,71,52
BTS,Permission to Dance,68,https://open.spotify.com/track/3XYRV7ZSHqIRDG87DKTtry,86,74
Official髭男dism,Cry Baby,67,https://open.spotify.com/track/7vBX6cVsCPFSx2C58hpZ4f,71,55
優里,シャッター,66,https://open.spotify.com/track/6VwpOZpqx8IqoF201VGAp8,67,56
藤井風,きらり,65,https://open.spotify.com/track/3ciqhcLmXP4hVGBD98QlEj,74,56
あいみょん,初恋が泣いている,64,https://open.spotify.com/track/2qJknEIv5MCKjHG6LNLZvj,70,49
YOASOBI,怪物,63,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi,73,67
King Gnu,カメレオン,62,https://open.spotify.com/track/0J0P8iSE6l3pYHbUdNFYdS,69,66
IVE,LOVE DIVE,61,https://open.spotify.com/track/0Q5VnK2DYzRyfqQRJuUtvi,72,71
Official髭男dism,Pretender,60,https://open.spotify.com/track/5LkWXxDxUTwEVHL0pfKL55,71,58
BE:FIRST,Bye-Good-Bye,58,https://open.spotify.com/track/0rPrGZTtScNSRL2jZoooKO,70,52
Saucy Dog,いつか,57,https://open.spotify.com/track/0v3iUTe5rskRsxbUhboRlT,65,67
Mrs.GREEN APPLE,ダンスホール,56,https://open.spotify.com/track/4NaaF28BeO9WzjDrSS71Nz,79,65
水曜日のカンパネラ,エジソン,55,https://open.spotify.com/track/2wRKOmpe6I7q6k69bkjuFU,51,49
あいみょん,マリーゴールド,54,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7,70,72
King Gnu,逆夢,53,https://open.spotify.com/track/6ZiEWet0uFRwWBCEKCQ8rY,69,67
Mrs.GREEN APPLE,青と夏,52,https://open.spotify.com/track/0a3587n25Xhw098UeEbeJq,79,63
優里,レオ,51,https://open.spotify.com/track/3eg3igrhEhzk8bqqRz6XCt,67,65
NAYEON,POP!,50,https://open.spotify.com/track/5rJ7bdPmr8nfmm2JQ8xHOz,62,56
LE SSERAFIM,FEARLESS,49,https://open.spotify.com/track/296nXCOv97WJNRWzIBQnoj,81,69
King Gnu,一途,48,https://open.spotify.com/track/7ncPjJBktLEOpstY5JOUMK,69,68
WANIMA,眩光,47,https://open.spotify.com/track/3lEKYFTpzc8PbM6EAeK30F,60,48
変態紳士クラブ,YOKAZE,46,https://open.spotify.com/track/5q6xFDptliUEAtuvH3BnIV,47,52
Ado,踊,45,https://open.spotify.com/track/0871AdnvzzSGr5XdTJaDHC,76,58
TWICE,The Feels,44,https://open.spotify.com/track/6pgqZ7Iw4LfHlfgWWaRFSY,83,50
緑黄色社会,Mela!,43,https://open.spotify.com/track/6IO5nn84TKArsi3cjpIqaD,63,68
Vaundy,踊り子,42,https://open.spotify.com/track/7loLSr7JUn78pLHitHr89Z,72,55
川崎鷹也,魔法の絨毯,41,https://open.spotify.com/track/3PK5ERLCyMuQ5Cb89GbZVL,58,65
Vaundy,怪獣の花唄,40,https://open.spotify.com/track/7dTW21YAJxnAOiUh7Rtu9S,72,74
CHEHON,韻波句徒,39,https://open.spotify.com/track/4Z6zwtZtZ5V2GGb2DL6sXU,48,46
さとうもか,melt bitter,38,https://open.spotify.com/track/6uSe3ACORUIVrAyiP84RZi,48,62
SixTONES,わたし,37,https://open.spotify.com/track/7CBVLDtL9eWL05wEw0gOyj,60,48
YOAKE,ねぇ,35,https://open.spotify.com/track/4OL2UHjasZp21Z1c2htqPj,42,53
JO1,ALL HOURS,34,https://open.spotify.com/track/5NbQuY8xbxAu1x8OuS6MSp,60,32
Awesome City Club,勿忘,33,https://open.spotify.com/track/6IwQAPovmEz5ft8bDUKLrj,48,55
AKB48,元カレです,32,https://open.spotify.com/track/1fnWrWpDw3gPRJBC9Zw4Mm,56,29
マカロニえんぴつ,たましいの居場所,31,https://open.spotify.com/track/6F6vNvJHqppGBvsxGez2bh,68,49
