Artist,Track,URL,Debut,Max,Mean,Std,Length,Sum,Skewness,Kurtosis
絢香,あいことば,https://open.spotify.com/track/7IDzU9XZf9g4vLI0zpjp3j,74,74,57.0,22.11,3,171,-0.31,-2.33
桑田佳祐 & The Pin Boys,レッツゴーボウリング,https://open.spotify.com/track/5Vs0fCgVhpEyZ4PL4Xag8l,15,95,61.5,35.41,4,246,-0.31,-2.03
Foorin,パプリカ,https://open.spotify.com/track/60t5lev16eczZXurTNf56k,78,96,77.59,19.45,74,5742,-2.09,3.94
ゆず,夏色,https://open.spotify.com/track/3nYe3TNoETmeXkseSdnUFz,59,81,23.89,20.81,37,884,1.0,0.04
Aqours,恋になりたいAQUARIUM,https://open.spotify.com/track/3nxrLaPGlW1EsAWn23bcPX,48,98,61.25,34.36,4,245,-0.11,-2.13
RADWIMPS,セプテンバーさん,https://open.spotify.com/track/0D2ZQ5DKyys3UPAfeKpvwp,18,54,27.17,19.11,6,163,0.5,-1.91
YUKI,トロイメライ,https://open.spotify.com/track/4zu2aLEheBjMJNCLKHiPST,88,88,65.67,21.55,3,197,0.08,-2.33
Mr.Children,Your Song,https://open.spotify.com/track/13fJ9LxecEw8QyRhqGxwcP,26,72,40.25,22.69,4,161,0.49,-1.9
西野カナ,トリセツ,https://open.spotify.com/track/23b0C1AE9Jt408lzWIvPSn,30,100,61.81,29.96,83,5130,-0.41,-1.07
BTS (防弾少年団),Let Go,https://open.spotify.com/track/1OqDvYVDhJyFZny7XlfIyZ,55,61,42.33,27.3,3,127,-0.36,-2.33
NEWS,チャンカパーナ,https://open.spotify.com/track/7Eh12O6cdN02uLHGDqQGMC,23,100,40.46,28.72,37,1497,0.3,-1.32
ハジ→,カタオモイ。,https://open.spotify.com/track/6Qmn5rzfQyWsxdkrx0Yt2r,26,66,36.33,26.08,3,109,0.33,-2.33
松任谷由実,守ってあげたい,https://open.spotify.com/track/0aRPz0c89bqxTA5spi8iZ7,5,34,14.67,16.74,3,44,0.38,-2.33
ゆず,栄光の架橋,https://open.spotify.com/track/6LtgrHfq3Q7O9PHcAZxkEH,34,72,28.4,18.4,20,568,0.97,0.48
西野カナ,パッ,https://open.spotify.com/track/0XMkHwHYthhC5PS1ESPp3l,22,98,64.17,27.37,18,1155,-0.37,-1.41
E-girls,北風と太陽,https://open.spotify.com/track/3Ygp8bwOhTmjRvUphZemvE,19,96,57.25,32.48,4,229,0.02,-2.01
椎名林檎,おとなの掟,https://open.spotify.com/track/6AZKBua6AW9kFBsxiGloBx,15,30,18.67,10.02,3,56,0.32,-2.33
福山雅治,トモエ学園,https://open.spotify.com/track/6xhP8ZvvnV7sPlijZnbaGe,12,78,31.75,33.47,4,127,0.45,-1.92
GReeeeN,キセキ,https://open.spotify.com/track/2bzdhN6Y5AP1zRRf12QwJq,11,100,40.64,28.69,106,4308,0.57,-0.87
