Artist,Track,URL,Debut,Max,Mean,Std,Length,Sum,Skewness,Kurtosis
Superfly,My Best Of My Life,https://open.spotify.com/track/4P4s1NbVLxxnZBlocewvpm,92,98,75.0,22.98,8,600,-1.03,-0.23
TRIPLANE,アイコトバ,https://open.spotify.com/track/66FFTehnmFNVdLdUZK04uD,87,88,52.2,35.6,5,261,-0.04,-2.14
星羅,数字と恋,https://open.spotify.com/track/2BZM6NvqC9GVxDvStB5fkv,83,83,70.8,18.06,5,354,-0.99,-1.02
Hi-Fi CAMP,一粒大の涙はきっと,https://open.spotify.com/track/2DO9vFRPHAQmxixhwGbflR,78,94,67.71,23.64,7,474,-0.44,-1.73
RCサクセション,雨あがりの夜空に,https://open.spotify.com/track/7MrERMGxt39g2iKjafDJ7l,77,77,36.0,37.03,3,108,0.25,-2.33
いきものがかり,ふたり,https://open.spotify.com/track/0XtRso9Gb6BWqk52F2mt75,73,95,61.56,30.97,9,554,-0.75,-0.96
NICO Touches the Walls,ビッグフット,https://open.spotify.com/track/6aC2yd3NMCUOk9235DzSNB,67,77,42.0,35.82,4,168,-0.07,-2.3
中島美嘉,Over Load,https://open.spotify.com/track/5Mjn2G74eRg0f3vdejCODn,66,95,64.17,21.43,6,385,-0.09,-1.31
SEAMO,MOTHER,https://open.spotify.com/track/45KeRxQiU1cHUFJrhnl1rw,63,98,45.5,32.61,12,546,0.15,-1.63
椎名林檎,ありあまる富,https://open.spotify.com/track/50XwYMXbc3z8W3g21SIucz,62,96,66.18,17.29,11,728,0.29,-1.18
MAY J.,Garden,https://open.spotify.com/track/5lHPQAvtk7K3tpTd9W0ySh,61,75,45.56,26.68,9,410,-0.28,-1.86
MiChi,KiSS KiSS xxx,https://open.spotify.com/track/5mO5kHq9DeiQ4ygx6CJnJr,58,86,59.83,28.88,6,359,-1.05,-0.54
GLAY,I am xxx,https://open.spotify.com/track/482TjbSeHDuNAmeEsNmxmv,56,97,72.83,27.74,6,437,-0.6,-1.42
福山雅治,化身,https://open.spotify.com/track/4toyx4FXU9TDOosvWjdurD,55,100,55.67,34.69,12,668,-0.26,-1.63
GReeeeN,遥か,https://open.spotify.com/track/4wBFubvNAwVox8q4SYXHqU,51,100,71.58,25.69,12,859,-0.48,-1.07
ハナレグミ,光と影,https://open.spotify.com/track/7tLGCJRFeJjhKH8LfBeWKT,47,77,33.0,26.25,9,297,0.19,-1.58
JYONGRI,Maybe Someday,https://open.spotify.com/track/3Oz5tCLaEIp5t5ytOZjZV2,46,94,62.25,30.53,4,249,-0.05,-2.26
FoZZtone,音楽,https://open.spotify.com/track/4ktAkyc1Zsdu0L9E9JJ5lZ,39,69,39.25,21.45,4,157,0.44,-1.87
阿部真央,I wanna see you,https://open.spotify.com/track/2qwOwSLV44hh0xqjZ2E490,33,62,34.14,21.92,7,239,-0.23,-1.69
熊木杏里,雨が空から離れたら,https://open.spotify.com/track/1dX0nsUDff917Mq4ShI1xP,30,30,16.67,11.93,3,50,0.28,-2.33
コミネリサ(lisa),ステキな果実,https://open.spotify.com/track/6y2li8ELBoaZzJUw1O4D7e,16,69,34.0,24.75,4,136,0.53,-1.88
THE ALFEE,桜の実の熟する時,https://open.spotify.com/track/2MhrEepbugslTK1mgosfgf,1,87,35.33,45.54,3,106,0.33,-2.33
阿部真央,伝えたいこと,https://open.spotify.com/track/5XdkHOGzjq4gC0lkFj0hjf,57,90,67.75,16.07,4,271,0.46,-1.93
北川大介,おまえを連れて,https://open.spotify.com/track/4uN9FRPTFfqtW5FIkQvUgz,36,36,21.33,12.86,3,64,0.34,-2.33
MONKEY MAJIK,アイシテル,https://open.spotify.com/track/22lbkSl4E6vy0xeCn4KoUf,34,94,57.38,25.55,8,459,-0.23,-1.26
工藤慎太郎,2つで1つ,https://open.spotify.com/track/2N1ttjwsXJFM7uSuSjJ72c,33,78,61.0,19.78,4,244,-0.52,-1.84
嵐,明日の記憶,https://open.spotify.com/track/5JUdOlFASwTo3ZvJWE77mr,12,100,63.29,35.21,7,443,-0.3,-1.83
the HIATUS,Ghost In The Rain,https://open.spotify.com/track/0dV4le1biPdw398LdA9flz,6,66,38.4,22.79,5,192,-0.17,-1.72
Prague,Slow Down,https://open.spotify.com/track/65qXiitKcwFinRzyrgDKcQ,62,62,37.67,21.36,3,113,0.34,-2.33
忌野清志郎,Oh! RADIO,https://open.spotify.com/track/49G43vcnfYdIAOGrmEHDbK,45,98,69.29,22.3,7,485,-0.04,-1.81
Superfly,やさしい気持ちで,https://open.spotify.com/track/3vAYELaKHs8q0Waamg28ZS,37,40,32.2,7.22,5,161,-0.29,-1.87
Cocco,絹ずれ,https://open.spotify.com/track/6L0atiuUJKCmcbA74n8o3k,3,85,44.67,41.02,3,134,-0.03,-2.33
いきものがかり,ホタルノヒカリ,https://open.spotify.com/track/7AffKWcNn5Zv7QFgScW2ox,96,96,66.14,32.16,7,463,-0.8,-0.79
レミオロメン,Starting Over,https://open.spotify.com/track/1ckGHsgE4E12woq1ANhpyC,94,94,74.17,16.68,6,445,0.16,-1.87
倖田來未,Lick me,https://open.spotify.com/track/42nExI3STVTdfuvKgnfxXJ,91,99,69.6,27.53,5,348,-0.24,-1.88
lecca,紅空,https://open.spotify.com/track/72JLcLjZqDpeGFsbJiouJJ,88,88,56.5,27.67,4,226,-0.07,-2.04
嵐,Everything,https://open.spotify.com/track/6SHrcaWlZAJSO6INMklr7b,86,100,73.17,25.27,6,439,-0.15,-1.95
城南海,白い月,https://open.spotify.com/track/5ZJBh4XUEAOLDwmltwB3fS,83,92,64.25,31.22,4,257,-0.39,-1.97
JASMINE,sad to say,https://open.spotify.com/track/6I9alkuVpOleYMl7p27Tya,66,95,52.55,31.9,11,578,-0.14,-1.72
YA-KYIM,たぶんきっと,https://open.spotify.com/track/1gPySMu4wGTcFL3dPgqlAt,65,94,50.5,35.16,6,303,0.04,-2.04
DOUBLE,Let it go,https://open.spotify.com/track/0GwYOBd2VYVPakX32FiN2R,62,80,51.67,34.67,3,155,-0.27,-2.33
school food punishment,butterfly swimmer,https://open.spotify.com/track/5WTXMoCn6dKxZyhFkXks6g,59,89,78.67,17.04,3,236,-0.38,-2.33
土屋アンナ,Brave vibration,https://open.spotify.com/track/2RJuPK6ZwQBBWYV4SoOUry,58,90,51.2,31.14,5,256,0.0,-2.07
twenty4-7,Shake,https://open.spotify.com/track/3ONO8XbF1ScsGSKtsGRGOc,53,54,41.0,21.66,3,123,-0.38,-2.33
藤澤ノリマサ,愛の奇跡,https://open.spotify.com/track/2IQrlUAAr2jXUglbsHNkhC,51,51,22.0,25.51,3,66,0.33,-2.33
ROCK'A'TRENCH,真夏の太陽,https://open.spotify.com/track/2kKdaOsrDnBPJ41v7i141y,49,92,50.67,25.96,9,456,-0.04,-1.33
遊助,たんぽぽ,https://open.spotify.com/track/5mXYP3PnRg5VtbPoZa2uXX,43,100,79.25,26.23,4,317,-0.46,-1.94
Perfume,NIGHT FLIGHT,https://open.spotify.com/track/4sd5YjI03rQCkqMDKJ1JxB,39,88,69.5,22.55,4,278,-0.4,-1.99
TUBE,あー夏休み,https://open.spotify.com/track/3xGPfKACKGRjRJbgr8uMbS,37,55,31.45,16.4,11,346,-0.12,-1.48
Vijandeux,バーニン☆ダーリン〜KOISEYO DANSHI〜,https://open.spotify.com/track/42gwfCh7P0YnYlDAE9Xfmg,29,59,45.67,15.28,3,137,-0.21,-2.33
宇多田ヒカル,Beautiful World,https://open.spotify.com/track/6aOoUkiQ9rLweL8IkPBN0L,27,93,31.0,34.82,7,217,0.71,-1.28
トータス松本,明星,https://open.spotify.com/track/7BSaARnU7NXvevnMHPdSjP,23,96,56.43,33.09,7,395,-0.14,-1.91
KREVA,瞬間speechless,https://open.spotify.com/track/19sgye7rU66PDZLwzynK1j,21,91,40.5,37.83,4,162,0.34,-1.97
Safarii,この恋にさよなら,https://open.spotify.com/track/0Jz4liHwW98o5FWLvQTsZW,19,35,22.5,12.87,4,90,-0.25,-2.07
加藤ミリヤ,Aitai,https://open.spotify.com/track/5U26l6aMfJ7zNWRWl5sPHH,18,42,21.0,19.67,3,63,0.15,-2.33
YUI,SUMMER SONG,https://open.spotify.com/track/1ZCFq7Fq1ZN5nI5GHXEAdg,14,100,49.11,25.52,28,1375,0.15,-0.75
福山雅治,最愛,https://open.spotify.com/track/5dH6gJVNZ5ID8EkTqRVWNx,8,87,58.67,27.52,6,352,-0.8,-0.86
RIP SLYME,楽園ベイベー,https://open.spotify.com/track/1E529ug6zRzAs8lk6DAXMs,6,20,12.83,5.88,6,77,-0.14,-1.97
奥華子,笑って笑って,https://open.spotify.com/track/2WMb2WEaT2kvO3SFicI2KG,5,70,42.2,24.22,5,211,-0.41,-1.53
MAY'S,I WISH,https://open.spotify.com/track/08owWY8JeO5YGC9TC8Uxgg,86,86,63.67,22.5,3,191,-0.01,-2.33
ゆず,みらい,https://open.spotify.com/track/3RtY3KJgql0Oe0u90uwJGC,45,48,33.33,22.85,3,100,-0.38,-2.33
一青窈,ハナミズキ,https://open.spotify.com/track/28NV7pexaSrgQqxize1rav,20,73,26.82,20.19,17,456,0.6,-0.62
Lead,ギラギラRomantic,https://open.spotify.com/track/38WPvuzABLpRMRQBGOPOG6,68,68,40.0,34.83,3,120,-0.28,-2.33
AAA,Break Down,https://open.spotify.com/track/4wKn6BQifdgILxGkRsQcX0,60,90,58.67,32.02,3,176,-0.04,-2.33
JAY'ED,CRY FOR YOU,https://open.spotify.com/track/1J9H07zhDweg9XlRFIfLVn,49,83,66.33,17.01,3,199,-0.04,-2.33
aiko,花火,https://open.spotify.com/track/0I0zZHGJ6ea8TxwbUvvJEH,14,63,27.14,16.34,49,1330,0.28,-1.01
Perfume,チョコレイト・ディスコ,https://open.spotify.com/track/35WLGytCEIVPLBPfhNPhTp,78,78,52.75,23.53,16,844,-0.26,-1.72
加藤ミリヤ,20-CRY-,https://open.spotify.com/track/6LYbBPbqniyxHneyE8VJsZ,31,94,61.75,26.55,4,247,0.06,-2.0
国生さゆり,バレンタイン・キッス,https://open.spotify.com/track/2N8hrhxDHw5RBdcQdIStwO,24,29,18.4,7.7,5,92,0.35,-2.03
pe'zmoku,ハルカゼ,https://open.spotify.com/track/1MHVKjgJidV5BQTYf2Dtos,7,74,37.0,34.04,3,111,0.2,-2.33
Lil'B,キミに歌ったラブソング,https://open.spotify.com/track/5qAeuuuWen5KD1MPMIr9v9,5,96,61.71,33.89,7,432,-0.48,-1.5
嵐,Crazy Moon〜キミ・ハ・ムテキ〜,https://open.spotify.com/track/2qGEcBZ3geScXdzycjcpsZ,99,99,65.33,46.72,3,196,-0.35,-2.33
新垣結衣,うつし絵,https://open.spotify.com/track/3ND3C1bdUFoMZGsvPecAnP,92,92,68.0,35.68,3,204,-0.37,-2.33
abingdon boys school,JAP,https://open.spotify.com/track/0tI8OEkoaFGVF0tLcyoYYD,68,92,54.0,46.6,3,162,-0.27,-2.33
orange pekoe,マリーゴールド,https://open.spotify.com/track/5sU4uWmpn135F4B3ba1Vo6,67,67,32.33,30.62,3,97,0.32,-2.33
たむらぱん,ジェットコースター,https://open.spotify.com/track/1xxNpGJ4mXO5pQWu495Cg4,58,93,58.83,25.29,6,353,-0.11,-1.67
西野カナ,君に会いたくなるから,https://open.spotify.com/track/1bRvpFRTVRqlzvtDOVay7n,55,94,60.8,34.77,5,304,-0.66,-1.39
キマグレン,君のいない世界,https://open.spotify.com/track/3OevgOl9JxwiAv18OFVxMn,50,97,65.29,26.8,7,457,-0.18,-1.96
山田優,free,https://open.spotify.com/track/0BK9QktcEAPlEh0oaOqD8m,14,76,33.0,37.32,3,99,0.38,-2.33
くるり,魂のゆくえ,https://open.spotify.com/track/1MUrtg539BiUCwSdvWKU74,68,79,57.67,27.97,3,173,-0.32,-2.33
GIRL NEXT DOOR,Infinity,https://open.spotify.com/track/7oycpwttmBCCNWToUbsN8e,63,98,74.5,19.81,4,298,0.11,-2.18
馬場俊英,ファイティングポーズの詩,https://open.spotify.com/track/0avY4377ZkX9zdg5o5AJn5,49,83,54.25,21.56,4,217,0.28,-1.87
MISIA,銀河,https://open.spotify.com/track/68zw7yB1qoLQYv2tySDcil,46,92,55.5,26.01,4,222,0.47,-1.83
矢野まき,本音とは愛よ,https://open.spotify.com/track/7zQEyHKVjR6VcZl8guq1GR,40,73,56.25,16.66,4,225,0.01,-2.38
福原美穂,HANABI SKY,https://open.spotify.com/track/4nokeyjsaziOPl2O03zPVb,25,96,68.0,27.7,5,340,-0.47,-1.58
SUPER BEAVER,深呼吸,https://open.spotify.com/track/1y3ED9Dk1PdVDDmW1IU0j0,20,36,19.75,11.62,4,79,0.49,-1.89
持田香織,雨のワルツ,https://open.spotify.com/track/0gTVqaeIQezMAna6wXr7hT,48,75,49.0,25.51,3,147,0.04,-2.33
ジェロ,えいさ,https://open.spotify.com/track/2Tiv97ni4fWrSdbsr03c4t,31,80,42.33,33.47,3,127,0.3,-2.33
TRIPLANE,白い花,https://open.spotify.com/track/7dur4lZgwnBr4NYELTqXHl,22,83,48.0,24.87,5,240,0.25,-1.88
倉木麻衣,touch Me!,https://open.spotify.com/track/2rJmiTV94rjR6ruuXF6WZD,65,85,69.67,13.61,3,209,0.3,-2.33
lego big morl,Ray,https://open.spotify.com/track/7aSzgOi1PxkIhwneNp3mwp,16,46,34.0,15.87,3,102,-0.32,-2.33
Base Ball Bear,BREEEEZE GIRL,https://open.spotify.com/track/7oQ2S2qYntt3D2jlVaBMwT,75,94,47.25,43.71,4,189,0.06,-2.37
まきちゃんぐ,愛の雫,https://open.spotify.com/track/5V4fba3okDN16ThnUZ2QIY,69,75,53.0,31.78,4,212,-0.69,-1.73
B'z,DIVE,https://open.spotify.com/track/4ysB60jfyAqMMLQYGkkodK,68,91,55.25,36.37,4,221,-0.41,-1.85
MINMI,アベマリア,https://open.spotify.com/track/1zlRZ3AE0coYReHL3fHUAw,35,85,62.33,25.32,3,187,-0.18,-2.33
V6,スピリット,https://open.spotify.com/track/6ZxclYm5SOmt85MHyXkh02,15,100,64.33,44.12,3,193,-0.28,-2.33
mihimaru GT,Switch,https://open.spotify.com/track/6PRONHEQFp3Dfx5diefpQl,5,92,54.25,39.65,4,217,-0.21,-2.15
AKB48,涙サプライズ!,https://open.spotify.com/track/0bCgT0WHUiKlAFo5KgPD8z,2,96,37.5,40.64,4,150,0.57,-1.78
渡辺美里,あしたの空,https://open.spotify.com/track/7hPvIqQAHjwTb4u3IClI1u,73,88,68.0,22.91,3,204,-0.21,-2.33
榎本くるみ,冒険彗星,https://open.spotify.com/track/1CD3Yx9ppBkoAaKdlXCiJ4,33,92,50.88,23.65,8,407,0.68,-1.4
忌野清志郎,パパの歌,https://open.spotify.com/track/0AoZB1tmNpJl83NWWIWJbH,46,46,29.6,12.76,5,148,0.23,-2.08
絢香,おかえり,https://open.spotify.com/track/1aEJTljLDeDeQgxtQHrhmz,23,98,60.0,27.78,14,840,-0.11,-1.41
中島美嘉,桜色舞うころ,https://open.spotify.com/track/3DqCoE225ySWVHwgzf0kbq,33,33,15.6,10.91,10,156,0.2,-1.64
aiko,桜の時,https://open.spotify.com/track/2CukFFswRZixS0AMkdMHSk,23,78,38.47,23.15,19,731,-0.0,-1.48
スピッツ,チェリー,https://open.spotify.com/track/1ihCiJaXRl4f6Sy4LJov5z,8,48,14.41,12.41,34,490,1.06,0.17
福耳,星のかけらを探しに行こう Again,https://open.spotify.com/track/0zHsyutzWPcHOHurwzpGBA,15,24,18.0,4.55,4,72,0.34,-2.04
杏里,悲しみがとまらない,https://open.spotify.com/track/3Ad81lTEJzWDTnjqC3S04z,47,47,30.25,20.6,4,121,-0.44,-1.96
桑田佳祐,波乗りジョニー,https://open.spotify.com/track/0xciPMDQtopXImYouTzKMp,14,87,18.78,28.07,9,169,1.49,0.95
Whiteberry,夏祭り,https://open.spotify.com/track/6rDJe5gVgAunlkaSY1vnAF,5,33,12.0,12.04,5,60,0.95,-1.08
Sonar Pocket,Promise,https://open.spotify.com/track/1e9PWezGbR96zLyY7OZHfN,35,97,61.0,28.01,8,488,-0.09,-1.84
Aqua Timez,虹,https://open.spotify.com/track/4xSh6jogaOSkWjASpxFSdp,4,99,64.0,35.19,14,896,-0.66,-1.25
乃木坂46,ハルジオンが咲く頃,https://open.spotify.com/track/3H2Wvju9hjz9Tobx5BqR8j,97,100,82.45,14.71,11,907,-0.53,-1.07
SKE48,チキンLINE,https://open.spotify.com/track/3nJzhZA4NFD0B7JNACgxT6,94,100,52.0,29.21,15,780,0.12,-1.45
三代目 J Soul Brothers from EXILE TRIBE,Feel So Alive,https://open.spotify.com/track/6DLm1nBMrykpfSJMXuTYxE,92,99,70.5,25.11,12,846,-0.62,-0.93
ONE OK ROCK,Always coming back,https://open.spotify.com/track/2NwGpjVtyRJm7WwkB98rrP,90,92,64.33,31.96,12,772,-0.79,-1.04
aiko,もっと,https://open.spotify.com/track/72McqMxHzbhXzNjr5catNy,85,99,62.78,26.57,18,1130,-0.2,-1.25
RADIO FISH,PERFECT HUMAN,https://open.spotify.com/track/2Mm0S1T5lgPy0YTXUxeIJQ,81,98,59.12,26.91,26,1537,-0.32,-1.31
anderlust,帰り道,https://open.spotify.com/track/6xOzvodT6TG931fddF4d0h,80,80,70.67,10.69,3,212,-0.21,-2.33
ワルキューレ,いけないボーダーライン,https://open.spotify.com/track/0OYGXK8T2oyWBSsehn44g9,79,89,56.8,26.17,10,568,-0.53,-1.06
西野カナ,あなたの好きなところ,https://open.spotify.com/track/5k24cAgfb6WH5YxEYgU3fm,78,99,65.55,25.75,22,1442,-0.69,-0.41
星野源,SUN,https://open.spotify.com/track/1DOZa2VoazIiDjGYlUQTlW,76,99,62.49,26.09,98,6124,-0.46,-1.02
AKB48,君はメロディー,https://open.spotify.com/track/2H95JsPPB6ZmV0Ji1CTgQf,72,100,58.33,30.68,12,700,0.15,-1.79
ケツメイシ,さらば涙,https://open.spotify.com/track/0Z0QXCkQZtE0BvkL8uaZ4v,70,92,60.67,24.4,18,1092,-0.8,-0.26
ASIAN KUNG-FU GENERATION,Re:Re:,https://open.spotify.com/track/0WaaPFt4Qy8sVfxKz43bCD,69,94,50.0,34.9,9,450,0.02,-1.88
GReeeeN,始まりの唄,https://open.spotify.com/track/6mpGt65kBVdfAsahsHF5PM,68,78,51.17,24.49,6,307,-0.5,-1.48
浦島太郎(桐谷健太),海の声,https://open.spotify.com/track/6EjGsUuJmyxdHjKzGN8kPy,66,98,57.81,29.37,53,3064,-0.38,-1.1
BIGBANG,BANG BANG BANG,https://open.spotify.com/track/2ispu3yKamZhCGf2Aj4roe,65,99,37.48,27.2,73,2736,0.62,-0.71
THE Sharehappi from 三代目 J Soul Brothers from EXILE TRIBE,Share The Love,https://open.spotify.com/track/1qWEBBmhX8A8eTEYyRJpK8,64,97,48.64,30.11,25,1216,0.31,-1.28
ナオト・インティライミ,together,https://open.spotify.com/track/1RlEr7odyuELLcjRKtkFgt,63,74,58.4,10.16,5,292,0.52,-1.7
BABYMETAL,KARATE,https://open.spotify.com/track/6D5HtLGzzS9IIY5Oyf9JwY,59,84,49.83,29.6,12,598,-0.41,-1.36
Crystal Kay,サクラ,https://open.spotify.com/track/4UMLZQna0fmdad9Tmxfeyd,57,79,50.0,29.15,5,250,-0.15,-2.18
A応P,全力バタンキュー,https://open.spotify.com/track/3NvTAvoxc5kNr6kYTz1ypk,54,97,53.08,29.92,13,690,-0.06,-1.41
コブクロ,未来,https://open.spotify.com/track/7M2ZtqHQWtrDW9oGodD6vm,52,98,60.2,29.9,44,2649,-0.26,-1.54
三浦大知,Cry & Fight,https://open.spotify.com/track/54arNmYZ2K82lESCAkQEho,51,93,45.62,29.51,8,365,0.02,-1.32
A応P,はなまるぴっぴはよいこだけ,https://open.spotify.com/track/6eyJWZ2VnxUrcbIBiYZS2d,46,95,52.9,24.26,29,1534,-0.27,-0.97
EXILE,Ki・mi・ni・mu・chu,https://open.spotify.com/track/0fAnYkjbAnYz1qzOWimdjT,43,99,65.9,29.17,29,1911,-0.47,-1.19
BLUE ENCOUNT,Survivor,https://open.spotify.com/track/76X16LOhkwkDXPEMQzkLFV,39,95,63.0,26.43,6,378,-0.2,-1.83
嵐,復活LOVE,https://open.spotify.com/track/5urAww9E1uYT0WAFMGFObF,35,100,61.93,30.41,15,929,-0.26,-1.7
NEWS,QUARTETTO,https://open.spotify.com/track/5xXAnOeitxz9tPR8AXGr0Z,32,83,63.83,19.97,6,383,-0.5,-1.62
三代目 J Soul Brothers from EXILE TRIBE,Summer Madness,https://open.spotify.com/track/5Ka1g28ae2RU0enBfG9nav,21,100,58.64,30.72,45,2639,-0.25,-1.35
秦基博,スミレ,https://open.spotify.com/track/2q3ZQMkxmBYlNqDSQw6bgI,15,92,54.64,26.28,11,601,-0.12,-1.51
EXILE ATSUSHI + AI,No more,https://open.spotify.com/track/2UkG8Zd2mYHinZafZjDLcJ,13,97,68.33,31.1,6,410,-0.76,-1.16
UNISON SQUARE GARDEN,シュガーソングとビターステップ,https://open.spotify.com/track/6uR92injo4PDzSrOPRFfHt,12,100,51.69,27.74,62,3205,0.17,-1.07
BUMP OF CHICKEN,Butterfly,https://open.spotify.com/track/2L0B42R9RNk5Wx23ZCqglF,10,91,51.64,34.04,11,568,-0.04,-1.86
高橋優,さくらのうた,https://open.spotify.com/track/0GFJMmhA2zt7c0x8TMV5td,7,90,51.2,32.98,5,256,-0.13,-1.9
絢香,にじいろ,https://open.spotify.com/track/3JrxNi0sQ1Lnx8eGonp3Ma,5,96,50.32,25.52,66,3321,-0.11,-1.0
家入レオ,僕たちの未来,https://open.spotify.com/track/7qVO7jU1bXfZZVrHxDpHl3,4,94,56.07,26.31,15,841,-0.56,-1.0
[Alexandros],NEW WALL,https://open.spotify.com/track/4nFclYLQlCHvEmsvDSbYud,3,89,49.2,38.56,5,246,-0.22,-2.17
スピッツ,みなと,https://open.spotify.com/track/2ntQxD8vf8suUCiRPzjNpv,2,95,56.9,33.39,10,569,-0.33,-1.64
μ's,MOMENT RING,https://open.spotify.com/track/0it9FhKT65mkHab7BnXENu,1,99,60.0,34.98,6,360,-0.53,-1.33
HKT48,74億分の1の君へ,https://open.spotify.com/track/4W81NsjSTD9fhAEseyJiGL,100,100,55.75,30.09,8,446,0.06,-1.71
宇多田ヒカル,真夏の通り雨,https://open.spotify.com/track/5RBDrY6VWBo4zHqajx8mLw,96,96,63.86,35.35,7,447,-0.49,-1.67
KEYTALK,HELLO WONDERLAND,https://open.spotify.com/track/6coiT86zuLj5C7bWinl6ZE,90,90,39.67,45.63,3,119,0.24,-2.33
CHiCO with HoneyWorks,恋色に咲け,https://open.spotify.com/track/43s0nzuQXAyddIMRnsoFY3,84,84,55.5,26.15,4,222,-0.1,-2.1
きゃりーぱみゅぱみゅ,最&高,https://open.spotify.com/track/1YBIJ2pNf1MmuDEnaqboQx,29,90,52.67,27.96,9,474,0.07,-1.64
9mm Parabellum Bullet,Lost!!,https://open.spotify.com/track/3yiTDaGqHx46tZemetaxg7,4,15,11.0,6.08,3,33,-0.37,-2.33
稲葉浩志,羽,https://open.spotify.com/track/6iBWf3UnEdcHwdWKk8emh2,100,100,61.11,31.76,9,550,-0.22,-1.8
BLUE ENCOUNT,はじまり,https://open.spotify.com/track/5OG4kAVoeJDpsXTtn5CvLC,94,94,60.5,31.42,4,242,-0.02,-2.26
ゲスの極み乙女。,私以外私じゃないの,https://open.spotify.com/track/3iKJWOQJtENE3kFWMXh8JM,92,98,65.16,25.94,50,3258,-0.36,-1.17
ゲスの極み乙女。,両成敗でいいじゃない,https://open.spotify.com/track/0ysBn0JC1qvl72ATXzkbd5,91,91,68.83,28.03,6,413,-1.03,-0.62
SKY-HI,アイリスライト,https://open.spotify.com/track/0UmOcFvqOyDPR890t6NPfe,88,88,41.0,35.12,4,164,0.3,-1.89
Superfly,黒い雫,https://open.spotify.com/track/3TkIvIvQAHq2mKwysQGPj4,83,97,63.12,30.13,16,1010,-0.6,-1.16
Mrs.GREEN APPLE,Speaking,https://open.spotify.com/track/0MyTMrPTh0GgtuyhYRdl3P,81,81,47.43,29.38,7,332,-0.45,-1.66
ゲスの極み乙女。,ロマンスがありあまる,https://open.spotify.com/track/6unPQ3WjSYWpKWjSVPA0KE,80,99,58.28,27.81,29,1690,-0.06,-1.39
星野源,時よ,https://open.spotify.com/track/72CAbDIuiTIerMusyaQ0hv,79,80,41.68,29.97,19,792,-0.1,-1.71
西野カナ,No.1,https://open.spotify.com/track/5NjyfwnaayMQRN5s40lYzx,78,98,69.27,27.62,15,1039,-0.77,-0.83
西野カナ,もしも運命の人がいるのなら,https://open.spotify.com/track/2gEnMcr2XNx1wtVYX8waMn,76,99,61.5,25.25,44,2706,-0.45,-0.73
Superfly,Beautiful,https://open.spotify.com/track/2ruHYPN3a77Ra8WvvPyfwb,73,96,64.96,28.17,26,1689,-0.48,-1.19
JUJU,What You Want,https://open.spotify.com/track/3gUyknnFjazpI3NbUeICJ6,72,93,73.08,22.99,12,877,-1.1,-0.24
加藤ミリヤ,FUTURE LOVER-未来恋人-,https://open.spotify.com/track/5JNhZf0hztvQIsCSbn8GFy,71,71,37.33,32.13,3,112,0.1,-2.33
miwa,あなたがここにいて抱きしめることができるなら,https://open.spotify.com/track/1AsKlgSSbIZZoTM9AMd7zB,67,98,68.07,24.87,15,1021,-0.88,-0.58
AKB48,唇にBe My Baby,https://open.spotify.com/track/2Rz8KASPAOOnJJrZnnkeaY,66,100,57.0,26.55,16,912,0.08,-1.35
ASIAN KUNG-FU GENERATION,Right Now,https://open.spotify.com/track/4T8ao1I8KnjpkQFWPzuZzf,65,79,54.0,31.95,3,162,-0.3,-2.33
NakamuraEmi,YAMABIKO,https://open.spotify.com/track/0H7sridQoXwfKbnUNBdhrb,62,85,65.6,22.01,5,328,-0.63,-1.45
ゲスの極み乙女。,オトナチック,https://open.spotify.com/track/0Ip3YxprogTVWjHX2SRVNf,61,96,64.88,26.67,16,1038,-0.25,-1.5
大原櫻子,キミを忘れないよ,https://open.spotify.com/track/4ClDTyw9XakQONBFENhdar,60,94,53.0,23.7,12,636,0.47,-1.14
ゆず,かける,https://open.spotify.com/track/6dsZq6tiFz7W8iTJuBuJMp,59,64,53.33,14.36,3,160,-0.33,-2.33
Suchmos,STAY TUNE,https://open.spotify.com/track/1KKc8f9ZiKFzOeRJJ3SYn7,56,91,51.7,25.37,53,2740,-0.4,-0.78
三代目 J Soul Brothers from EXILE TRIBE,Unfair World,https://open.spotify.com/track/5WDmOswSLvyuWF2XBGRmgj,52,99,59.78,28.36,23,1375,-0.16,-1.29
EXILE,道,https://open.spotify.com/track/6fZhokT7ADLeCcOyKL914T,50,66,31.92,22.09,12,383,0.21,-1.61
ナオト・インティライミ,未来へ,https://open.spotify.com/track/1J9f5MSGN55Rec8ZxtoMop,45,84,42.6,29.35,5,213,0.03,-1.47
AI,ハピネス,https://open.spotify.com/track/4Ls20opS0EzPb7NuA6F8VI,44,99,52.08,28.68,64,3333,-0.22,-1.16
スガシカオ,真夜中の虹,https://open.spotify.com/track/3aRGr7YPLknm2saap2kS1e,42,80,56.5,20.94,4,226,0.08,-2.29
MISIA,オルフェンズの涙,https://open.spotify.com/track/3vvdRYBwFbDjsb8IaK0Pgs,41,83,55.33,17.72,6,332,0.27,-1.58
星野源,Week End,https://open.spotify.com/track/4yBciZ52BnlfqsbwmRKKKp,39,80,50.86,19.28,14,712,-0.56,-0.49
ラブ・クレッシェンド,コップの中の木漏れ日,https://open.spotify.com/track/1tA2a0KNAx5GEVQ6yKoSIu,38,93,39.14,28.1,7,274,0.68,-0.68
西野カナ,好き,https://open.spotify.com/track/0o3Qt0eAqvHHnkSlzGKg9Q,37,97,50.52,22.83,58,2930,0.1,-0.56
