アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度,MP3_Local_Path
BTS (防弾少年団),DNA,37,https://open.spotify.com/track/2ngmiq1KoYn3x25VOmvd8F,86,72,./downloaded_mp3/BTS (防弾少年団)_DNA.mp3
TWICE,Dance The Night Away,34,https://open.spotify.com/track/281tmNk46TBQS9ACYMLYyA,84,57,./downloaded_mp3/TWICE_Dance The Night Away.mp3
星野源,ドラえもん,33,https://open.spotify.com/track/6rEReeuYDZdggaSMF1sybO,66,55,./downloaded_mp3/星野源_ドラえもん.mp3
菅田将暉,さよならエレジー,30,https://open.spotify.com/track/3oYD2O31b05fILFpv0AXRI,60,67,./downloaded_mp3/菅田将暉_さよならエレジー.mp3
TWICE,What is Love?,27,https://open.spotify.com/track/2PhG74FocRobLC8pP9cIBI,84,43,./downloaded_mp3/TWICE_What is Love?.mp3
ハジ→,カタオモイ。,26,https://open.spotify.com/track/6Qmn5rzfQyWsxdkrx0Yt2r,48,41,./downloaded_mp3/ハジ→_カタオモイ。.mp3
Little Glee Monster,世界はあなたに笑いかけている,25,https://open.spotify.com/track/0ovs8Z1ZvFSyo3irudmLHu,54,54,./downloaded_mp3/Little Glee Monster_世界はあなたに笑いかけている.mp3
スキマスイッチ,奏(かなで),24,https://open.spotify.com/track/5RbMlPFL4gVyEHW2lEOuzG,61,73,./downloaded_mp3/スキマスイッチ_奏(かなで).mp3
GENERATIONS from EXILE TRIBE,少年,23,https://open.spotify.com/track/0n6swQqD3sUaPzejVtOQaT,52,25,./downloaded_mp3/GENERATIONS from EXILE TRIBE_少年.mp3
星野源,恋,20,https://open.spotify.com/track/5Hu29JT4xtbRUBTZeOAjxW,66,61,./downloaded_mp3/星野源_恋.mp3
TWICE,Candy Pop,19,https://open.spotify.com/track/39GvWlUAF4Y3qzboUyvBkg,84,51,./downloaded_mp3/TWICE_Candy Pop.mp3
Kis-My-Ft2,君、僕。,17,https://open.spotify.com/track/4iLRtlRQidWhMmPosMd2XR,49,24,./downloaded_mp3/Kis-My-Ft2_君、僕。.mp3
TWICE,I WANT YOU BACK,16,https://open.spotify.com/track/0Dsbej1ME76kebKBGE0ROD,84,47,./downloaded_mp3/TWICE_I WANT YOU BACK.mp3
ONE OK ROCK,Wherever you are,13,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm,71,66,./downloaded_mp3/ONE OK ROCK_Wherever you are.mp3
きのこ帝国,金木犀の夜,11,https://open.spotify.com/track/27udJcfu06TvbbOpgfxIlw,50,57,./downloaded_mp3/きのこ帝国_金木犀の夜.mp3
sumika,春夏秋冬,9,https://open.spotify.com/track/46dkBHeBkMSaZ057Z7F3IZ,59,42,./downloaded_mp3/sumika_春夏秋冬.mp3
Linked Horizon,暁の鎮魂歌,8,https://open.spotify.com/track/6CcVsaoKsG4WvkZWZBvyTn,59,41,./downloaded_mp3/Linked Horizon_暁の鎮魂歌.mp3
松任谷由実,守ってあげたい,5,https://open.spotify.com/track/0aRPz0c89bqxTA5spi8iZ7,59,57,./downloaded_mp3/松任谷由実_守ってあげたい.mp3
サカナクション,新宝島,2,https://open.spotify.com/track/6ODZT1FGTE2q4two05giS1,66,56,./downloaded_mp3/サカナクション_新宝島.mp3
