アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
Kis-My-Ft2,キミとのキセキ,100,https://open.spotify.com/track/5Hqau9KuUZeDRrRIZDuWlD,49,37
サザンオールスターズ,ピースとハイライト,99,https://open.spotify.com/track/3OqNnP6IFM4chY7jRHdqMx,65,37
UVERworld,Fight For Liberty,98,https://open.spotify.com/track/07NMKEDSIgM6W6FvmCIKKa,60,43
AKB48,恋するフォーチュンクッキー,97,https://open.spotify.com/track/3Tw2WaAaeRj0YKtTUogJVz,56,50
Silent Siren,ビーサン,96,https://open.spotify.com/track/5hXJYKV7SyTbrKRVkJqpjR,47,26
SCANDAL,下弦の月,95,https://open.spotify.com/track/7jt62yuet4M92MhonE67KR,48,28
天野春子(小泉今日子),潮騒のメモリー,94,https://open.spotify.com/track/53uaNqloMXC475JtyDdJaK,18,34
片平里菜,夏の夜,92,https://open.spotify.com/track/6DuDnl1Gw9ku73YnFyVArt,39,18
西野カナ,涙色,91,https://open.spotify.com/track/36lgwmdoCjigvrWpS1FAPr,63,44
androp,Voice,90,https://open.spotify.com/track/14InQZYaroJFJJ2A0HvyIk,38,27
荒井由実,ひこうき雲,85,https://open.spotify.com/track/6QoxIsoqpiaFvUsYwJX8bq,56,45
ドレスコーズ,トートロジー,83,https://open.spotify.com/track/0mfZpRqClAtNcLaEGQqyUZ,35,17
Linked Horizon,紅蓮の弓矢,80,https://open.spotify.com/track/0F8psXXh2oxE5BGdkKaoIs,59,51
コブクロ,ダイヤモンド,79,https://open.spotify.com/track/0z6m8r8ct5wGDranlKQDYa,58,40
ハジ→,for YOU。,78,https://open.spotify.com/track/3jzuA1xODaJMjqnEexbu9u,48,53
Acid Black Cherry,Greed Greed Greed,77,https://open.spotify.com/track/0BsXsdBkGAps61Wh8ij8NW,50,39
小桃音まい,BANG BANG 鼓笛サンバ,76,https://open.spotify.com/track/0xm6g9I57jdUirLZsVduN2,8,0
バクステ外神田一丁目,美少女黙示録,74,https://open.spotify.com/track/2saO35nxvQyIFlCzvV6o2C,0,1
YUKI,STARMANN,70,https://open.spotify.com/track/3lSHszAqboN536yReZom8J,44,17
スピッツ,小さな生き物,69,https://open.spotify.com/track/46uPnwDOB1HplicBcX8VD9,65,31
シェネル,アイシテル,66,https://open.spotify.com/track/4d5Dv6Oh2fLu0z1BEPxNsv,55,43
STYLE FIVE,SPLASH FREE,65,https://open.spotify.com/track/6WcHAvBrzmir4vbaiKWT8D,33,39
FLOWER,太陽と向日葵,64,https://open.spotify.com/track/22ac4pW9AIkjpaOR6VBhtD,44,42
井上陽水,少年時代,63,https://open.spotify.com/track/66YLc8VbZSm4FH9uauxlrs,49,55
高垣彩陽,Next Destination,61,https://open.spotify.com/track/6ijvhaTbzRMGHbaDZ9GSh7,25,29
スキマスイッチ,Hello Especially,60,https://open.spotify.com/track/33aOU2vrvSpWvVTnuX8Ecj,60,32
SPYAIR,現状ディストラクション,59,https://open.spotify.com/track/1TIzFMURd9jVYlcVtoNsgo,58,49
家入レオ,君に届け,54,https://open.spotify.com/track/4jORuB9wkUaOoUP9HZmKb9,51,22
7!!,ReReハロ〜終われそうにない夏〜,52,https://open.spotify.com/track/0yVhxqlE5ZnxhcVvguC1Tq,49,22
GReeeeN,愛し君へ,51,https://open.spotify.com/track/1vePiIQxMCzJUv7pEoyoWy,61,41
サザンオールスターズ,栄光の男,49,https://open.spotify.com/track/0b5IOHnch6K9Q1HiABT9UM,65,45
赤い公園,今更,47,https://open.spotify.com/track/2kT1cHn8DcYgaMN33hmSQy,35,26
