アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
赤い公園,交信,46,https://open.spotify.com/track/4otxr0Z7p56M6laxPxAF5M,35,15
塩ノ谷早耶香,Ocean Blue,43,https://open.spotify.com/track/3gI0MxLV8uHG9amq7ABuP1,17,14
斉藤和義,Always,41,https://open.spotify.com/track/7tRBbfA1ookcWguzuiFZbh,53,15
lynch.,NIGHT,40,https://open.spotify.com/track/3TsLBHVNJ7RKzg2P3tNpX7,39,11
片平里菜,Come Back Home,39,https://open.spotify.com/track/23JcPkFZ7Fdqcrr0l1TVO9,39,15
SKY-HI,愛ブルーム,38,https://open.spotify.com/track/2iPCPleRFphYm5gHAPW2eT,52,14
いきものがかり,笑顔,37,https://open.spotify.com/track/1dYFiDCkODoBht8HtTuW7E,63,58
喜多村英梨,Birth,36,https://open.spotify.com/track/7wIpuP8ZqPw4GbJCRv6J99,27,31
jyA-Me,今を抱きしめて with 吉田栄作,34,https://open.spotify.com/track/11wmS1jfuesvHHTofUMSvs,29,23
真心ブラザーズ,サマーヌード,33,https://open.spotify.com/track/7eNTFaExmnzkud4vCILtEm,35,44
サザンオールスターズ,真夏の果実,32,https://open.spotify.com/track/3AVLsBieDGotYuo5RPEL64,65,64
SEKAI NO OWARI,RPG,26,https://open.spotify.com/track/7facNrW6VRW8s3ICZ8G1uW,64,65
SKE48,美しい稲妻,25,https://open.spotify.com/track/0SSsjvwlgocTDQb9eIMZ2X,33,17
ケラケラ,スターラブレイション,21,https://open.spotify.com/track/0PTGYdQvnVQ1YJ65jxBNoT,35,52
Superfly,Starting Over,20,https://open.spotify.com/track/5qTX6rWMFoT0jBnkaGbHoc,59,19
Dream5,We are Dreamer,18,https://open.spotify.com/track/1ACsQZBESmAjY6bHPkEPMv,28,8
LinQ,HANABI!!,17,https://open.spotify.com/track/3RsN9Zje4TRLfeLfhFTYLx,20,2
Linked Horizon,自由の翼,13,https://open.spotify.com/track/0l6uRRIDPNw3OsmqCYkmvi,59,42
RIP SLYME,楽園ベイベー,12,https://open.spotify.com/track/1E529ug6zRzAs8lk6DAXMs,55,56
ゆず,夏色,10,https://open.spotify.com/track/3nYe3TNoETmeXkseSdnUFz,56,58
遊助,とうもろこし,9,https://open.spotify.com/track/4kdPQUatCpOdKRUHlUPxBQ,43,9
水樹奈々,Vitalization,7,https://open.spotify.com/track/44HokGU8V1GTc0vdOIXrmL,48,37
ケツメイシ,夏の思い出,5,https://open.spotify.com/track/22uQDAWeupUDmr3Qit0abI,56,53
BUMP OF CHICKEN,天体観測,4,https://open.spotify.com/track/3hRRYgBeunE3PTmnzATTS0,63,65
WHITE ASH,Crowds,3,https://open.spotify.com/track/5MbhvsafMgw7sOIvoWROFA,23,30
ナオト・インティライミ,恋する季節,2,https://open.spotify.com/track/25eQea2tq7ELnlcdCEqkJA,46,44
Takamiy(高見沢俊彦),雷神の如く,1,https://open.spotify.com/track/1tx91JTZmo7ge5562OeiPM,20,3
