rank,song_title,artist_name,score
1,前前前世,RADWIMPS,100
2,WILD WILD WILD,EXILE THE SECOND,99
3,好きな人がいること,JY,98
4,恋をしたのは,aiko,97
5,Power of the Paradise,嵐,96
6,薔薇のように咲いて 桜のように散って,松田聖子,95
7,なんでもないや,RADWIMPS,94
8,スパークル,RADWIMPS,93
9,恋,星野源,92
10,道,宇多田ヒカル,91
11,限りなく冒険に近いサマー,虹のコンキスタドール,90
12,夢灯籠,RADWIMPS,89
13,キラリ☆NiPPON,CLEAR'S,88
14,EverYell,アルスマグナ,87
15,桜流し,宇多田ヒカル,86
16,Taking Off,ONE OK ROCK,85
17,Hero,安室奈美恵,84
18,世界に一つだけの花,SMAP,83
19,Choo Choo SHITAIN,JINTAKA,82
20,まっすぐ,私立恵比寿中学,81
21,BELIEVE,西内まりや,80
22,六本木心中,JUJU,79
23,花束を君に,宇多田ヒカル,78
24,ラストシーン,いきものがかり,77
25,蝶々結び,Aimer(エメ),76
26,君が好き,西野カナ,75
27,SUN,星野源,74
28,PIERROT,GENERATIONS from EXILE TRIBE,73
29,クローサー feat.ホールジー,チェインスモーカーズ,72
30,LOVE TRIP,AKB48,71
31,僕たちのResistance,"星井美希(長谷川明子),如月千早(今井麻美),高槻やよい(仁後真耶子),我那覇響(沼倉愛美)",70
32,R.Y.U.S.E.I.,三代目 J Soul Brothers from EXILE TRIBE,69
33,他の誰かより悲しい恋をしただけ,Flower,68
34,ホワイト・タイガー,イジー・ビズ,67
35,夢で夜空を照らしたい,"高海千歌(伊波杏樹),桜内梨子(逢田梨香子),渡辺曜(斉藤朱夏),津島善子(小林愛香),国木田花丸(高槻かな子),黒澤ルビィ(降幡愛)",66
36,New World,BUCK-TICK,65
37,スターダスト,イトヲカシ,64
38,トリセツ,西野カナ,63
39,裸足でSummer,乃木坂46,62
40,二時間だけのバカンス feat.椎名林檎,宇多田ヒカル,61
41,Wherever you are,ONE OK ROCK,60
42,CHEER UP! THE SUMMER,山下達郎,59
43,Eye to Eye,ベリーグッドマン,58
44,アリア,BUMP OF CHICKEN,57
45,世界には愛しかない,欅坂46,56
46,最高かよ,HKT48,55
47,Have a nice day,西野カナ,54
48,UNIVERSE,ShuuKaRen,53
49,ひまわりの約束,秦基博,52
50,カヌレ,CHiCO with HoneyWorks,51
51,サイレントマジョリティー,欅坂46,50
52,Ring the Bell,ももたまい(百田夏菜子&玉井詩織),49
53,Overflows〜言葉にできなくて〜,ナオト・インティライミ,48
54,海の声,浦島太郎(桐谷健太),47
55,365日の紙飛行機,AKB48,46
56,Swan,[Alexandros],45
57,LOSER,米津玄師,44
58,ありがとう,SMAP,43
59,ともに,WANIMA,42
60,パーフェクト・イリュージョン,レディー・ガガ,41
61,コールド・ウォーター feat.ジャスティン・ビーバー & ムー,メジャー・レイザー,40
62,アンサー,BUMP OF CHICKEN,39
63,ザ・グレイテスト feat.ケンドリック・ラマー,シーア,38
64,Take-A-Shot! feat.PKCZ,ShuuKaRen,37
65,ワタリドリ,[Alexandros],36
66,clever,ClariS × GARNiDELiA,35
67,まだ君は知らない MY PRETTIEST GIRL,Nissy(西島隆弘),34
68,涙のない世界,AAA,33
69,366日,HY,32
70,ULTRA TIGER,RADIO FISH,31
71,僕はいない,NMB48,30
72,ザ・ゴールデン・ヒストリー,ももいろクローバーZ,29
73,友よ〜この先もずっと…,ケツメイシ,28
74,夏の終わり,森山直太朗,27
75,BANG BANG BANG,BIGBANG,26
76,ハッピー,ファレル・ウィリアムス,25
77,FLASH,Perfume,24
78,夜更けのアモーレ,ももたまい(百田夏菜子&玉井詩織),23
79,思い出になれ,奥華子,22
80,やさしさで溢れるように,Flower,21
81,The Beginning,ONE OK ROCK,20
82,奏(かなで),スキマスイッチ,19
83,マイ・ウェイ,カルヴィン・ハリス,18
84,キセキ,GReeeeN,17
85,未来,コブクロ,16
86,COCOA,Rei,15
87,夏の恋人,SHISHAMO,14
88,命短し恋せよ乙女,MOSHIMO,13
89,Joy-ride〜歓喜のドライブ〜,EXILE,12
90,FANTASTIC BABY,BIGBANG,11
91,カタオモイ,Aimer(エメ),10
92,完全感覚Dreamer,ONE OK ROCK,9
93,トライ・エヴリシング,Dream Ami,8
94,もしも僕らがGAMEの主役で,DAOKO,7
95,溜息と不安の夜に,遠藤舞,6
96,ユメ語るよりユメ歌おう,Aqours,5
97,"Imagine day,Imagine life!",小松未可子,4
98,Paradisus-Paradoxum,MYTH & ROID,3
99,Maybe,Brian the Sun,2
100,恋音と雨空,AAA,1
