アーティスト名,曲名,順位,Spotify URL,アーティスト人気度,track人気度
Official髭男dism,Pretender,99,https://open.spotify.com/track/5LkWXxDxUTwEVHL0pfKL55,71,58
King Gnu,白日,98,https://open.spotify.com/track/5iF0Yf9gju6ERpAch08JsC,69,58
米津玄師,パプリカ,96,https://open.spotify.com/track/3ZGLU3boyl9emMo2Jlr5Gr,80,56
King Gnu,どろん,95,https://open.spotify.com/track/5KQUugWVoDTgHXSN7UU5Qb,69,57
Snow Man,D.D.,94,https://open.spotify.com/track/1aUuEO2zNz6HQfoeXwV5c0,65,58
Official髭男dism,宿命,92,https://open.spotify.com/track/2yozZfRYHP7Elsymghu5t3,71,60
Official髭男dism,イエスタデイ,91,https://open.spotify.com/track/53WuztMfY1VH3rLIm0zApQ,71,58
菅田将暉,まちがいさがし,90,https://open.spotify.com/track/55Ww4Pa1iIQMhh0MLMetjo,59,64
SixTONES,Imitation Rain,88,https://open.spotify.com/track/03TJRLzsaDf9KqQShGgVg9,60,54
Uru,あなたがいることで,87,https://open.spotify.com/track/2AVbKUuvvzbPK6NIZZZvcY,61,63
King Gnu,Teenager Forever,86,https://open.spotify.com/track/7wnOPAiqvIG4dTvEInj0YT,69,62
桑田佳祐 & The Pin Boys,悲しきプロボウラー,85,https://open.spotify.com/track/3SilRC8d4yFFJPdJFR8PCw,14,30
あいみょん,マリーゴールド,84,https://open.spotify.com/track/2cKiHG16JBiqHdi7Llq0r7,70,72
あいみょん,さよならの今日に,83,https://open.spotify.com/track/1BMFlDfS1ZLTKhqBGkM6zb,70,49
Official髭男dism,115万キロのフィルム,82,https://open.spotify.com/track/278JqkBGkjDovOYAwE8TW7,71,67
Official髭男dism,ノーダウト,80,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV,71,65
King Gnu,飛行艇,79,https://open.spotify.com/track/5vsM9UppL2iTgOfenMB6Gz,69,64
Foorin,パプリカ,78,https://open.spotify.com/track/60t5lev16eczZXurTNf56k,32,50
米津玄師,Lemon,77,https://open.spotify.com/track/04TshWXkhV1qkqHzf31Hn6,80,72
King Gnu,傘,75,https://open.spotify.com/track/4Rbe954EM88dRNqZEws0rT,69,57
米津玄師,馬と鹿,74,https://open.spotify.com/track/0iniTNHwqBiP4UDE1dgUpD,80,63
Mrs.GREEN APPLE,インフェルノ,73,https://open.spotify.com/track/64yajM6CxtLghmgB53VeXT,79,68
CARRY LOOSE,にんげん,72,https://open.spotify.com/track/5fz2BEF55GVUHVnrbh19q3,11,18
家入レオ,未完成,71,https://open.spotify.com/track/2SHmn1lF0VgWkdeqKY02Zt,51,55
DiverDiva,SUPER NOVA,70,https://open.spotify.com/track/4AN5xcopsmXq2JSF1SNHEz,25,28
Eve,心予報,69,https://open.spotify.com/track/5zs4EN2bPqsDLk0YtPwus3,66,46
A・ZU・NA,Dream Land!Dream World!,68,https://open.spotify.com/track/7qpVKG6LJb1OORejlgkN9b,22,25
QU4RTZ,Sing & Smile!!,67,https://open.spotify.com/track/305C9BYvdU0bLNfMI3bhPw,24,28
Snow Man,Crazy F-R-E-S-H Beat,66,https://open.spotify.com/track/1h0rVXtYbZ2LEqKcpJFDUL,65,52
King Gnu,小さな惑星,65,https://open.spotify.com/track/6Sk8FdL95YNN8Xru87BWez,69,53
JUJU,STAYIN' ALIVE,63,https://open.spotify.com/track/0pssxomTEt8NShX9dNPzpp,53,41
菅田将暉,さよならエレジー,62,https://open.spotify.com/track/3oYD2O31b05fILFpv0AXRI,59,67
Official髭男dism,Stand By You,61,https://open.spotify.com/track/5D8UugGdM9n9hMsiminaZN,71,54
MAMAMOO,HIP,59,https://open.spotify.com/track/2z3jaQnxmksxb0dBDDFVf2,58,52
BAE,BaNG!!!,58,https://open.spotify.com/track/5SinNGF0VqJENVU294uCje,39,35
SixTONES,Telephone,57,https://open.spotify.com/track/2nAu02GzoTD0aXEAa4cgwz,60,48
wacci,別の人の彼女になったよ,56,https://open.spotify.com/track/666wLEFj1AtTNBEcErygLz,54,61
SixTONES,NEW WORLD,55,https://open.spotify.com/track/3T8b6zBv204yuWmseuklFq,60,47
三代目 J SOUL BROTHERS from EXILE TRIBE,Rat-tat-tat,54,https://open.spotify.com/track/0PnHdkZUQfbrvAdIjOEafw,54,43
小倉唯,I・LOVE・YOU!!,53,https://open.spotify.com/track/1eV1LfXPnME05r3asuLDsn,34,14
TWICE,Feel Special,52,https://open.spotify.com/track/14rWuS6yllHOdfZ8sZsZUj,83,61
ジェジュン,Ray of Light,51,https://open.spotify.com/track/4mPYbhGyC5sVwvkNuuAhGU,38,9
ジェジュン,Brava!! Brava!! Brava!!,50,https://open.spotify.com/track/2UCq0ttD14PU4REgAPOnhM,38,10
IZ*ONE,FIESTA,49,https://open.spotify.com/track/6Ihdn6wW2UBhfTKWbP29KA,56,60
ヨルシカ,ただ君に晴れ,48,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz,71,71
嵐,Turning Up,47,https://open.spotify.com/track/4zdQmfTLWgGd5mAX4MUIaX,65,49
JO1,無限大,46,https://open.spotify.com/track/0ttdSB0wMNA7Z2qdyYdDOO,60,46
King Gnu,ユーモア,43,https://open.spotify.com/track/0zXSk9N3L7XQb8GXwhjlXt,69,48
あいみょん,君はロックを聴かない,42,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM,70,70
back number,高嶺の花子さん,41,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l,76,75
Superfly,愛をこめて花束を,39,https://open.spotify.com/track/7CmWXD3w1xOO53AAO4LRVQ,59,70
槇原敬之,どんなときも。,38,https://open.spotify.com/track/4feDzcxtXRU8clyOluco5Y,58,61
BURNOUT SYNDROMES,PHOENIX,37,https://open.spotify.com/track/1ZGmDs16vtSI0nlxDFljFK,53,56
[ALEXANDROS],ワタリドリ,36,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o,58,68
Mrs.GREEN APPLE,青と夏,35,https://open.spotify.com/track/0a3587n25Xhw098UeEbeJq,79,63
あいみょん,ハルノヒ,34,https://open.spotify.com/track/7GYGVDPbi0zQUBIkuOPAY0,70,54
Novelbright,Walking with you,32,https://open.spotify.com/track/7tGDXCPLpAScEwmqab9YZd,63,68
天晴れ!原宿,ギミギミダーリン,31,https://open.spotify.com/track/2IINjO2BzM63RxJnb7TUTW,14,9
槇原敬之,もう恋なんてしない,30,https://open.spotify.com/track/2dQ4alICWrgs9gyYUOWlEg,58,61
HY,366日,28,https://open.spotify.com/track/22aZD7yaGYfhgCYazL4nbc,57,66
DAOKO × 米津玄師,打上花火,27,https://open.spotify.com/track/7pcTLUekZJQnzDOUDuExVJ,54,61
BTS,Black Swan,26,https://open.spotify.com/track/6wH3AP7b01vpzKYRJhreMy,86,63
女王蜂,火炎,25,https://open.spotify.com/track/4k2GMy34pt5rQT9aVEzEwq,53,59
ONE OK ROCK,Wherever you are,24,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm,71,66
ちゃんみな,Never Grow Up,23,https://open.spotify.com/track/5aDgM8rYPT15CqjkN1EIKq,69,69
Official髭男dism,ビンテージ,22,https://open.spotify.com/track/0U9vBvoG3LN1PnuVl47E3W,71,55
あいみょん,今夜このまま,21,https://open.spotify.com/track/6kKvmT4i0Dercz6f3kftg3,70,65
μ's,A song for You! You? You!!,20,https://open.spotify.com/track/1TLDe7LHaRGh3nxPl1cKHG,45,30
BALLISTIK BOYZ from EXILE TRIBE,ANTI-HERO'S,18,https://open.spotify.com/track/0X0dwohD5uyseccMPwovpw,43,26
Superfly,フレア,17,https://open.spotify.com/track/0CMFJXFDYUs9idk51LRPz1,59,47
sumika,センス・オブ・ワンダー,16,https://open.spotify.com/track/6kx6GDwi4aai3JY9xNeFAy,59,48
あいみょん,空の青さを知る人よ,15,https://open.spotify.com/track/3u0e8pyoVc7l2u3T5thohY,70,46
back number,ハッピーエンド,14,https://open.spotify.com/track/4GqO80eGXA542oTvlYv4LS,76,73
BTS (防弾少年団),Boy With Luv (feat. Halsey),13,https://open.spotify.com/track/4a9tbd947vo9K8Vti9JwcI,86,77
TWICE,SWING,12,https://open.spotify.com/track/67nWZTtuz3k8kwqNjdxwwp,83,31
back number,クリスマスソング,11,https://open.spotify.com/track/5P8ZvBQoCrujjNcLAxO3Su,76,69
EVERGLOW,DUN DUN,10,https://open.spotify.com/track/3ejAkJLWQSEJDqDXxK3efB,55,61
嵐,Love so sweet,9,https://open.spotify.com/track/10G6iBGzoMi9qXgDV9qyBy,65,56
