rank,song_title,artist_name,score
1,Take a picture,NiziU,100
2,Film out,BTS,99
3,ドライフラワー,優里,98
4,怪物,YOASOBI,97
5,夜に駆ける,YOASOBI,96
6,Dynamite,BTS,95
7,Poppin' Shakin',NiziU,94
8,うっせぇわ,Ado,93
9,勿忘,Awesome City Club,92
10,One Last Kiss,宇多田ヒカル,91
11,廻廻奇譚,Eve,90
12,群青,YOASOBI,89
13,炎,LiSA,88
14,ギラギラ,Ado,87
15,虹,菅田将暉,86
16,桜が降る夜は,あいみょん,85
17,Bluma to Lunch,BLOOM VASE,84
20,春を告げる,yama,81
21,アンコール,YOASOBI,80
22,猫,DISH//,79
23,ハルジオン,YOASOBI,78
24,Make you happy,NiziU,77
25,ツキミソウ,Novelbright,76
26,白日,King Gnu,75
27,Step and a step,NiziU,74
28,ハルカ,YOASOBI,73
29,Pretender,Official髭男dism,72
30,優しい彗星,YOASOBI,71
31,裸の心,あいみょん,70
32,ヘビースモーク,にしな,69
33,"Stand by me, Stand by you.",平井大,68
34,魔法の絨毯,川崎鷹也,67
35,紅蓮華,LiSA,66
36,I LOVE…,Official髭男dism,65
37,napori,Vaundy,64
38,猫 〜THE FIRST TAKE ver.〜,DISH//,63
39,春泥棒,ヨルシカ,62
40,Universe,Official髭男dism,61
41,ピーターパン,優里,60
43,感電,米津玄師,58
44,紫の夜を越えて,スピッツ,57
45,マリーゴールド,あいみょん,56
46,かくれんぼ,優里,55
47,たぶん,YOASOBI,54
48,不可幸力,Vaundy,53
50,Mela!,緑黄色社会,51
51,リーヴ・ザ・ドア・オープン,ブルーノ・マーズ、アンダーソン・パーク&シルク・ソニック,50
52,あの夢をなぞって,YOASOBI,49
53,うまぴょい伝説,Various Artists,48
54,グッバイ宣言,Chinozo,47
55,Stay Gold,BTS,46
56,115万キロのフィルム,Official髭男dism,45
57,Lemon,米津玄師,44
58,正しくなれない,ずっと真夜中でいいのに。,43
59,寄り酔い,和ぬか,42
60,CITRUS,Da-iCE,41
61,星を仰ぐ,菅田将暉,40
62,三文小説,King Gnu,39
63,インフェルノ,Mrs.GREEN APPLE,38
64,香水,瑛人,37
65,旅路,藤井風,36
66,ハルノヒ,あいみょん,35
67,Life Goes On,BTS,34
68,題名のない今日,平井大,33
70,ユメヲカケル!,"""スペシャルウィーク(和氣あず未),サイレンススズカ(高野麻里佳),トウカイテイオー(Machico),ウオッカ(大橋彩香),ダイワスカーレット(木村千咲),ゴールドシップ(上田瞳),メジロマックイー",31
71,Walking with you,Novelbright,30
72,点描の唄 feat.井上苑子,Mrs.GREEN APPLE,29
73,10月無口な君を忘れる,あたらよ,28
74,恋人ごっこ,マカロニえんぴつ,27
75,snow jam,Rin音,26
77,TEENAGE VIBE feat. Tohji,kZm,24
78,I CAN'T STOP ME,TWICE,23
79,ピーチズ feat.ダニエル・シーザー&ギヴィオン,ジャスティン・ビーバー,22
80,ただ君に晴れ,ヨルシカ,21
81,僕が僕じゃないみたいだ,SixTONES,20
82,No.1,DISH//,19
83,Boy With Luv (feat. Halsey),BTS (防弾少年団),18
84,まちがいさがし,菅田将暉,17
85,レディメイド,Ado,16
87,世界の秘密,Vaundy,14
88,怪獣の花唄,Vaundy,13
89,VIVID VICE,Who-ya Extended,12
90,LET'S MUSIC,Sexy Zone,11
92,再会 (produced by Ayase),LiSA × Uru,9
93,イエスタデイ,Official髭男dism,8
94,silent,SEKAI NO OWARI,7
95,あかるいみらい,Mom,6
97,Grandeur,Snow Man,4
98,恋落ちフラグ,SKE48,3
100,Feel Special,TWICE,1
