rank,song_title,artist_name,score
1,Must be now,NMB48,100
2,新宝島,サカナクション,99
3,君のこころは輝いてるかい?,Aqours,98
4,トリセツ,西野カナ,97
5,Dance Dance Dance,E-girls,96
7,SOS,SEKAI NO OWARI,94
8,オトナチック,ゲスの極み乙女。,93
9,君がくれた夏,家入レオ,92
10,R.Y.U.S.E.I.,三代目 J Soul Brothers from EXILE TRIBE,91
11,夜空。 feat.ハジ→,miwa,90
14,Unfair World,三代目 J Soul Brothers from EXILE TRIBE,87
15,JUMP AROUND ∞,DOBERMAN INFINITY,86
16,バーンイットアップ! feat.ミッシー・エリオット,ジャネット・ジャクソン,85
17,ホワット・ドゥ・ユー・ミーン?,ジャスティン・ビーバー,84
19,Ki・mi・ni・mu・chu,EXILE,82
20,シェイク・イット・オフ〜気にしてなんかいられないっ!!,テイラー・スウィフト,81
22,愛してるのに、愛せない,AAA,79
23,Kiss,MACO,78
24,今、話したい誰かがいる,乃木坂46,77
26,ハロウィン・ナイト,AKB48,75
27,Bravely You,Lia,74
28,Crazy Party Night〜ぱんぷきんの逆襲〜,きゃりーぱみゅぱみゅ,73
30,Dreaming!,"春日未来(山崎はるか),最上静香(田所あずさ),伊吹翼(Machico)",71
32,ひまわりの約束,秦基博,69
34,記念日。 feat.miwa,ハジ→,67
35,愛を叫べ,嵐,66
36,アイ・リアリー・ライク・ユー,カーリー・レイ・ジェプセン,65
39,シー・ユー・アゲイン,ウィズ・カリファ feat.チャーリー・プース,62
41,千本桜,WhiteFlame feat.初音ミク,60
42,シュガーソングとビターステップ,UNISON SQUARE GARDEN,59
43,家族になろうよ,福山雅治,58
45,フォー・ア・ベター・デイ,アヴィーチー,56
46,好きだ。,Little Glee Monster,55
48,チェンジ・ザ・ワールド,エリック・クラプトン,53
49,Summer Madness,三代目 J Soul Brothers from EXILE TRIBE,52
50,もしも運命の人がいるのなら,西野カナ,51
51,リバーシブルー,クリープハイプ,50
52,紅蓮の弓矢,Linked Horizon,49
53,私以外私じゃないの,ゲスの極み乙女。,48
54,Holiday,Happiness,47
55,ALL FOR YOU,GENERATIONS from EXILE TRIBE,46
57,シュガー,マルーン5,44
59,Q&A,秦基博,42
61,ShibuyaK,DAOKO,40
64,ANTI-HERO,SEKAI NO OWARI,37
66,REVOLUTION,Crystal Kay feat.安室奈美恵,35
67,クリープ,クリープハイプ,34
68,好き,西野カナ,33
69,恋音と雨空,AAA,32
70,'I'Novel,RADWIMPS,31
73,RPG,SEKAI NO OWARI,28
74,クリアレスト・ブルー,チャーチズ,27
77,奏(かなで),スキマスイッチ,24
78,ライティングズ・オン・ザ・ウォール,サム・スミス,23
79,ウェイティング・フォー・ラヴ,アヴィーチー,22
80,私たちは絶対に絶対にヨリを戻したりしない,テイラー・スウィフト,21
81,ロマンスがありあまる,ゲスの極み乙女。,20
82,さよならの前に,AAA,19
83,アップタウン・ファンク feat.ブルーノ・マーズ,マーク・ロンソン,18
86,キャント・フィール・マイ・フェイス,ウィークエンド,15
87,WITH YOU,JUJU,14
88,プライド革命,CHiCO with HoneyWorks,13
89,Raise your flag,MAN WITH A MISSION,12
90,Dragon Night,SEKAI NO OWARI,11
92,恋するフォーチュンクッキー,AKB48,9
93,グッド・タイム with アウル・シティー,カーリー・レイ・ジェプセン,8
95,ワタリドリ,[Alexandros],6
96,アンビリーバーズ,米津玄師,5
97,ホワット・メイクス・ユー・ビューティフル,ワン・ダイレクション,4
98,長く短い祭,椎名林檎,3
99,明日はきっといい日になる,高橋優,2
